item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
LEJAY CREME DE CASSIS 34,ABCK CORP/MHW LTD,SPIRITS,CORDIALS/LIQUORS,LEJAY,CORDIALS AND LIQUEURS,Liquor Products,LEJAY,BLACK CURRANT,CASSIS DE DIJON,BURGUNDY,FRANCE,34.00,,RED,700ML,ML ,541914,,LEJAY,8612,1696044    ,HACIENDA DEL SOL GUEST RANCH R,5601 N HACIENDA DEL S,,TUCSON,AZ,40,ON ,0310469000168,2781,106989,5.000,809.80
CH VALENTIN 16 HAUT MEDOC      APS,APS WINE & SPIRITS,WINE,RED WINE,CHATEAU VALENTIN,CABERNET SAUVIGNON,Wine & Wine Coolers,CHATEAU VALENTIN,,HAUT MEDOC,BORDEAUX,FRANCE,0.00,BLEND-BORDEAUX,RED,750ML,ML ,532211,,CHATEAU VALENTIN,8612,1696044    ,HACIENDA DEL SOL GUEST RANCH R,5601 N HACIENDA DEL S,,TUCSON,AZ,40,ON ,0000000000000,3503,101397,2.000,359.84
WEINGUT FRANK ZWEIG HERRNBAUMG(SC),AUGUST WINE GROUP,WINE,RED WINE,WEINGUT FRANK,OTHER RED,Wine & Wine Coolers,WEINGUT FRANK,,DNA--NIEDEROSTERREICH,NIEDEROSTERREICH,AUSTRIA,0.00,ZWEIGELT,RED,750ML,ML ,554065,,WEINGUT FRANK,8612,1696044    ,HACIENDA DEL SOL GUEST RANCH R,5601 N HACIENDA DEL S,,TUCSON,AZ,40,ON ,0000000000000,3111,104707,1.000,185.93
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY,WHISKEY BOURBON,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,ANGELS ENVY,HOUSE OF BACARDI PRESTIGE BRANDS,8612,1696044    ,HACIENDA DEL SOL GUEST RANCH R,5601 N HACIENDA DEL S,,TUCSON,AZ,40,ON ,0085004700300,846,101079,4.328,996.62
ANGELS ENVY RYE WSKY 100,BACARDI USA INC,SPIRITS,STRAIGHT RYE WHISKY,ANGELS ENVY,RUM,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,100.00,RYE,TAWNY/BROWN,750ML,ML ,410753,ANGELS ENVY,HOUSE OF BACARDI PRESTIGE BRANDS,8612,1696044    ,HACIENDA DEL SOL GUEST RANCH R,5601 N HACIENDA DEL S,,TUCSON,AZ,40,ON ,0085004700306,846,101079,0.664,262.76
BACARDI CKTL MOJITO 11.8 CAN6/4P,BACARDI USA INC,SPIRITS,COCKTAILS,BACARDI CLASSIC COCKTAILS,COCKTAILS,Liquor Products,BACARDI CLASSIC COCKTAILS,MINT,DNA--CANADA,DNA--CANADA,CANADA,11.80,,OTHER,355ML,ML ,984914,,HOUSE OF BACARDI,8612,1696044    ,HACIENDA DEL SOL GUEST RANCH R,5601 N HACIENDA DEL S,,TUCSON,AZ,40,ON ,0008048098628,770,101079,1.000,47.94
BACARDI RUM SPICED 70,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM OAKHEART,RUM,Liquor Products,BACARDI SPICED RUM,BLEND-SPICES,DNA--UNITED STATES,DNA--UNITED STATES,UNITED STATES,70.00,,TAWNY/BROWN,1.0L,LT ,960685,,HOUSE OF BACARDI,8612,1696044    ,HACIENDA DEL SOL GUEST RANCH R,5601 N HACIENDA DEL S,,TUCSON,AZ,40,ON ,0008048000151,710,101079,0.166,0.00
BACARDI RUM SUPERIOR WHITE 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM SUPERIOR,RUM,Liquor Products,BACARDI SPR/G/S/B/151,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,WHITE,1.0L,LT ,28728,,HOUSE OF BACARDI,8612,1696044    ,HACIENDA DEL SOL GUEST RANCH R,5601 N HACIENDA DEL S,,TUCSON,AZ,40,ON ,0008048001530,709,101079,4.496,943.06
BOMBAY CKTL SAPPH G&T 11.8 CAN 4P,BACARDI USA INC,SPIRITS,COCKTAILS,BOMBAY,COCKTAILS,Liquor Products,BOMBAY COCKTAILS,OTHER,DNA--BELGIUM,DNA--BELGIUM,BELGIUM,11.80,,OTHER,250ML,ML ,984905,,HOUSE OF BOMBAY,8612,1696044    ,HACIENDA DEL SOL GUEST RANCH R,5601 N HACIENDA DEL S,,TUCSON,AZ,40,ON ,0008048098618,2637,101079,2.000,119.88
BOMBAY DRY GIN 86,BACARDI USA INC,SPIRITS,GIN,BOMBAY GIN,GIN,Liquor Products,BOMBAY ORIGINAL,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,86.00,BLEND-GRAINS,WHITE,1.0L,LT ,11286,,HOUSE OF BOMBAY,8612,1696044    ,HACIENDA DEL SOL GUEST RANCH R,5601 N HACIENDA DEL S,,TUCSON,AZ,40,ON ,0008048030001,771,101079,0.748,169.71
