item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
CANDONI MERLOT(ORGANIC),AREL GROUP WINE & SPIRITS,WINE,RED WINE,CANDONI,ITALIAN WINES,Wine & Wine Coolers,CANDONI,,DELLE VENEZIE,VENETO,ITALY,0.00,MERLOT,RED,750ML,ML ,143950,VENETO,CANDONI,32589,5505312    ,ASILOMAR CONFERENCE CENTER,800 ASILOMAR BLVD,,PACIFIC GROVE,CA,25,ON ,0081364500268,43008,102977,1.000,102.00
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY SAPPHIRE,GIN IMPORTED,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,750ML,ML ,11292,NONE,HOUSE OF BOMBAY,32589,5505312    ,ASILOMAR CONFERENCE CENTER,800 ASILOMAR BLVD,,PACIFIC GROVE,CA,25,ON ,0008048030102,3988,101079,0.333,90.92
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,32589,5505312    ,ASILOMAR CONFERENCE CENTER,800 ASILOMAR BLVD,,PACIFIC GROVE,CA,25,ON ,0008048028001,1265,101079,0.166,28.20
PATRON TEQ REPOSADO 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON REPO,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,43177,REPOSADO TEQUILA,PATRON SPIRITS COMPANY,32589,5505312    ,ASILOMAR CONFERENCE CENTER,800 ASILOMAR BLVD,,PACIFIC GROVE,CA,25,ON ,0072173300015,4159,101079,0.083,45.60
PATRON TEQUILA SILVER 80 BAR,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,118695,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,32589,5505312    ,ASILOMAR CONFERENCE CENTER,800 ASILOMAR BLVD,,PACIFIC GROVE,CA,25,ON ,0072173300002,4160,101079,0.250,112.95
CENTURY CELLARS CHARDONNAY,BRONCO WINE CO,WINE,WHITE WINE,CENTURY CELLARS,CA - CALIFORNIA,Wine & Wine Coolers,CENTURY CELLARS,,DNA--CALIFORNIA,CALIFORNIA,UNITED STATES,0.00,CHARDONNAY,WHITE,750ML,ML ,402475,CALIFORNIA,CENTURY CELLARS,32589,5505312    ,ASILOMAR CONFERENCE CENTER,800 ASILOMAR BLVD,,PACIFIC GROVE,CA,25,ON ,0008069691599,42720,100081,109.000,5427.36
APEROL APERITIVO 22,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,APEROL,CORDIALS IMPORTED,Liquor Products,APEROL,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,22.00,,ORANGE,1.0L,LT ,557367,FLAVORED CORDIAL IMPORTED,APEROL,32589,5505312    ,ASILOMAR CONFERENCE CENTER,800 ASILOMAR BLVD,,PACIFIC GROVE,CA,25,ON ,0072105900238,3208,100478,1.166,212.17
CAMPARI APERITIVO 48,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,CAMPARI,APERITIF / BITTERS IMPORTED,Liquor Products,CAMPARI,BLEND-PROPRIETARY,DNA--ITALY,DNA--ITALY,ITALY,48.00,,WHITE,1.0L,LT ,606739,NONE,CAMPARI,32589,5505312    ,ASILOMAR CONFERENCE CENTER,800 ASILOMAR BLVD,,PACIFIC GROVE,CA,25,ON ,0072105904100,1360,100478,0.166,33.70
CINZANO VERMOUTH DRY,CAMPARI AMERICA,WINE,VERMOUTH,CINZANO VERMOUTH,VERMOUTH FORTIFIED IMPORTED,Wine & Wine Coolers,CINZANO VERMOUTH,BLEND-BOTANICALS,DNA--PIEDMONT,PIEDMONT,ITALY,0.00,BLEND-OTHER,WHITE,1.0L,LT ,58239,NONE,CINZANO VERMOUTH,32589,5505312    ,ASILOMAR CONFERENCE CENTER,800 ASILOMAR BLVD,,PACIFIC GROVE,CA,25,ON ,0008678590020,41362,100478,1.000,100.71
ESPOLON TEQ BLANCO 80,CAMPARI AMERICA,SPIRITS,TEQUILA,ESPOLON,TEQUILA,Liquor Products,ESPOLON BLANCO,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,1.0L,LT ,314814,SILVER / PLATA TEQUILA,ESPOLON,32589,5505312    ,ASILOMAR CONFERENCE CENTER,800 ASILOMAR BLVD,,PACIFIC GROVE,CA,25,ON ,0072105970100,752,100478,0.333,56.98
ESPOLON TEQ REPOSADO 80,CAMPARI AMERICA,SPIRITS,TEQUILA,ESPOLON,TEQUILA,Liquor Products,ESPOLON REPOSADO,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,1.0L,LT ,314808,REPOSADO TEQUILA,ESPOLON,32589,5505312    ,ASILOMAR CONFERENCE CENTER,800 ASILOMAR BLVD,,PACIFIC GROVE,CA,25,ON ,0072105970101,752,100478,0.333,56.98
GRAND MARNIER 80,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,GRAND MARNIER LESS CUVEES,CORDIALS IMPORTED,Liquor Products,GRAND MARNIER LESS CUVEES,ORANGE,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,BLEND-COGNAC,TAWNY/BROWN,1.0L,LT ,991348,FLAVORED CORDIAL IMPORTED,GRAND MARNIER,32589,5505312    ,ASILOMAR CONFERENCE CENTER,800 ASILOMAR BLVD,,PACIFIC GROVE,CA,25,ON ,0064918890048,167,100478,1.166,269.15
