item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
LA FETE DU BLANC BL DE BL 21,B & H IMPORTERS/PARK STREET IM,WINE,WHITE WINE,LA FETE,FRENCH WINE,Wine & Wine Coolers,LA FETE DU ROSE,,COTES DE PROVENCE,PROVENCE,FRANCE,0.00,BLEND-PROVENCE,WHITE,750ML,ML ,559442,PROVENCE WHITE,LA FETE DU ROSE,4279,5262600    ,GRAND WAILEA A WALDORF ASTORIA,3850 WAILEA ALANUI DRIVE,,WAILEA,HI,50,ON ,0086000816092,1109,114329,3.000,618.00
LA FETE DU ROSE COTES PROV ROSE 21,B & H IMPORTERS/PARK STREET IM,WINE,BLUSH/ROSE WINE,LA FETE,FRENCH WINE,Wine & Wine Coolers,LA FETE DU ROSE,,COTES DE PROVENCE,PROVENCE,FRANCE,0.00,BLEND-PROVENCE,ROSE,750ML,ML ,551769,PROVENCE ROSE,LA FETE DU ROSE,4279,5262600    ,GRAND WAILEA A WALDORF ASTORIA,3850 WAILEA ALANUI DRIVE,,WAILEA,HI,50,ON ,0086000816090,1109,114329,92.000,18393.00
LA FETE DU ROSE COTES PROV ROSE 22,B & H IMPORTERS/PARK STREET IM,WINE,BLUSH/ROSE WINE,LA FETE,FRENCH WINE,Wine & Wine Coolers,LA FETE DU ROSE,,COTES DE PROVENCE,PROVENCE,FRANCE,0.00,BLEND-PROVENCE,ROSE,750ML,ML ,588991,PROVENCE ROSE,LA FETE DU ROSE,4279,5262600    ,GRAND WAILEA A WALDORF ASTORIA,3850 WAILEA ALANUI DRIVE,,WAILEA,HI,50,ON ,0086000816090,1109,114329,104.000,20894.00
LA FETE DU ROUGE COTES PROV 21,B & H IMPORTERS/PARK STREET IM,WINE,RED WINE,LA FETE,FRENCH WINE,Wine & Wine Coolers,LA FETE DU ROUGE,,COTES DE PROVENCE,PROVENCE,FRANCE,0.00,BLEND-PROVENCE,RED,750ML,ML ,592792,PROVENCE RED,LA FETE DU ROUGE,4279,5262600    ,GRAND WAILEA A WALDORF ASTORIA,3850 WAILEA ALANUI DRIVE,,WAILEA,HI,50,ON ,0086000816093,1109,114329,3.000,720.00
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY,WHISKEY STRGHT/IRISH,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,WHISKEY BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,4279,5262600    ,GRAND WAILEA A WALDORF ASTORIA,3850 WAILEA ALANUI DRIVE,,WAILEA,HI,50,ON ,0085004700300,371,101079,3.000,729.90
ANGELS ENVY BBN CASK STR 118.2,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY,WHISKEY STRGHT/IRISH,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,118.20,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,602086,WHISKEY BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,4279,5262600    ,GRAND WAILEA A WALDORF ASTORIA,3850 WAILEA ALANUI DRIVE,,WAILEA,HI,50,ON ,0085004700305,371,101079,3.332,1719.90
ANGELS ENVY BBN CASK STR F25 118.8,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY,WHISKEY STRGHT/IRISH,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,118.80,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,636672,WHISKEY BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,4279,5262600    ,GRAND WAILEA A WALDORF ASTORIA,3850 WAILEA ALANUI DRIVE,,WAILEA,HI,50,ON ,0085004700305,371,101079,1.000,524.97
BACARDI RUM GOLD RSV OCHO 8YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI 8,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,1.0L,LT ,893641,RUM IMPORTED,HOUSE OF BACARDI,4279,5262600    ,GRAND WAILEA A WALDORF ASTORIA,3850 WAILEA ALANUI DRIVE,,WAILEA,HI,50,ON ,0008048050530,241,101079,4.000,452.09
BACARDI RUM GRAN RSV DIEZ 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI DIEZ,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,750ML,ML ,899308,RUM IMPORTED,HOUSE OF BACARDI,4279,5262600    ,GRAND WAILEA A WALDORF ASTORIA,3850 WAILEA ALANUI DRIVE,,WAILEA,HI,50,ON ,0008048098340,241,101079,0.332,65.16
BACARDI RUM SPICED 70,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI SPICED RUM,BLEND-SPICES,DNA--UNITED STATES,DNA--UNITED STATES,UNITED STATES,70.00,,TAWNY/BROWN,1.0L,LT ,960685,RUM IMPORTED,HOUSE OF BACARDI,4279,5262600    ,GRAND WAILEA A WALDORF ASTORIA,3850 WAILEA ALANUI DRIVE,,WAILEA,HI,50,ON ,0008048000151,241,101079,0.333,78.76
