item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
LEJAY CREME DE CASSIS 36,ABCK CORP/MHW LTD,SPIRITS,CORDIALS/LIQUORS,LEJAY CREME DE CASSIS,CORDIALS IMPORTED,Liquor Products,LEJAY,BLACK CURRANT,CASSIS DE DIJON,BURGUNDY,FRANCE,36.00,,RED,375ML,ML ,357892,FLAVORED CORDIAL IMPORTED,LEJAY,103321,2117210    ,FOUR SEASONS WESTLAKE VILLAGE,2 DOLE DR,,WESTLAKE VILLAGE,CA,20,ON ,0000000000000,4759,106989,1.000,204.00
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY BOURBON,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,103321,2117210    ,FOUR SEASONS WESTLAKE VILLAGE,2 DOLE DR,,WESTLAKE VILLAGE,CA,20,ON ,0085004700300,4891,101079,23.821,5586.85
BOMBAY DRY GIN 86,BACARDI USA INC,SPIRITS,GIN,BOMBAY ORIGINAL,GIN IMPORTED,Liquor Products,BOMBAY ORIGINAL,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,86.00,BLEND-GRAINS,WHITE,750ML,ML ,11287,NONE,HOUSE OF BOMBAY,103321,2117210    ,FOUR SEASONS WESTLAKE VILLAGE,2 DOLE DR,,WESTLAKE VILLAGE,CA,20,ON ,0008144010331,3987,101079,1.000,226.68
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY SAPPHIRE,GIN IMPORTED,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,750ML,ML ,11292,NONE,HOUSE OF BOMBAY,103321,2117210    ,FOUR SEASONS WESTLAKE VILLAGE,2 DOLE DR,,WESTLAKE VILLAGE,CA,20,ON ,0008048030102,3988,101079,3.000,739.08
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,103321,2117210    ,FOUR SEASONS WESTLAKE VILLAGE,2 DOLE DR,,WESTLAKE VILLAGE,CA,20,ON ,0008048028001,1265,101079,186.000,34014.84
HAVANA CLUB RUM ANEJO BLANCO 80,BACARDI USA INC,SPIRITS,RUM,HAVANA CLUB SILVER,RUM IMPORTED,Liquor Products,HAVANA CLUB,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,WHITE,750ML,ML ,415222,LIGHT RUM IMPORTED,HOUSE OF NICHE BRANDS,103321,2117210    ,FOUR SEASONS WESTLAKE VILLAGE,2 DOLE DR,,WESTLAKE VILLAGE,CA,20,ON ,0008048000689,5207,101079,2.000,341.80
PATRON TEQ REPOSADO 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON REPO,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,43177,REPOSADO TEQUILA,PATRON SPIRITS COMPANY,103321,2117210    ,FOUR SEASONS WESTLAKE VILLAGE,2 DOLE DR,,WESTLAKE VILLAGE,CA,20,ON ,0072173300015,4159,101079,-1.000,-505.80
PATRON TEQ SILVER 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,328,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,103321,2117210    ,FOUR SEASONS WESTLAKE VILLAGE,2 DOLE DR,,WESTLAKE VILLAGE,CA,20,ON ,0072173300002,4160,101079,19.000,8766.60
PATRON TEQUILA SILVER 80 BAR,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,118695,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,103321,2117210    ,FOUR SEASONS WESTLAKE VILLAGE,2 DOLE DR,,WESTLAKE VILLAGE,CA,20,ON ,0072173300002,4160,101079,48.000,20599.20
TEELING IRISH WSKY SGL GR92W/TUBES,BACARDI USA INC,SPIRITS,IRISH WHISKEY,TEELING IRISH WHISKEY,WHISKEY IMPORTED,Liquor Products,TEELING IRISH WSKY,,DNA--IRELAND,DNA--IRELAND,IRELAND,92.00,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,946141,IRISH WHISKEY,HOUSE OF BACARDI OTHER,103321,2117210    ,FOUR SEASONS WESTLAKE VILLAGE,2 DOLE DR,,WESTLAKE VILLAGE,CA,20,ON ,0081321902006,5677,101079,0.666,148.80
APEROL APERITIVO 22,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,APEROL,APERITIF / BITTERS IMPORTED,Liquor Products,APEROL,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,22.00,,ORANGE,750ML,ML ,557366,NONE,APEROL,103321,2117210    ,FOUR SEASONS WESTLAKE VILLAGE,2 DOLE DR,,WESTLAKE VILLAGE,CA,20,ON ,0072105900131,3208,100478,1.000,132.28
APEROL APERITIVO 22,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,APEROL,CORDIALS IMPORTED,Liquor Products,APEROL,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,22.00,,ORANGE,1.0L,LT ,557367,FLAVORED CORDIAL IMPORTED,APEROL,103321,2117210    ,FOUR SEASONS WESTLAKE VILLAGE,2 DOLE DR,,WESTLAKE VILLAGE,CA,20,ON ,0072105900238,3208,100478,88.666,15399.06
