item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
BACARDI RUM DRAGON BERRY 70,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI FLAVORED RUMS,BERRY,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,70.00,,WHITE,1.0L,LT ,240792,RUM IMPORTED,HOUSE OF BACARDI,5027,1630152    ,ROYAL KONA RESORT,75-5852 ALII DRIVE,,KAILUA KONA,HI,50,ON ,0008048000026,241,101079,10.000,1759.12
BACARDI RUM GOLD RSV OCHO 8YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI 8,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,750ML,ML ,893644,RUM IMPORTED,HOUSE OF BACARDI,5027,1630152    ,ROYAL KONA RESORT,75-5852 ALII DRIVE,,KAILUA KONA,HI,50,ON ,0008048050540,241,101079,21.000,4947.60
BACARDI RUM GOLD RSV OCHO 8YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI 8,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,1.0L,LT ,893641,RUM IMPORTED,HOUSE OF BACARDI,5027,1630152    ,ROYAL KONA RESORT,75-5852 ALII DRIVE,,KAILUA KONA,HI,50,ON ,0008048050530,241,101079,434.168,60720.65
BACARDI RUM SUPERIOR WHITE 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI SPR/G/S/B/151,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,WHITE,1.0L,LT ,28728,RUM IMPORTED,HOUSE OF BACARDI,5027,1630152    ,ROYAL KONA RESORT,75-5852 ALII DRIVE,,KAILUA KONA,HI,50,ON ,0008048001530,241,101079,142.000,20692.12
BOMBAY DRY GIN 86,BACARDI USA INC,SPIRITS,GIN,BOMBAY GIN,GIN IMPORTED,Liquor Products,BOMBAY ORIGINAL,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,86.00,BLEND-GRAINS,WHITE,1.0L,LT ,11286,GIN IMPORTED,HOUSE OF BOMBAY,5027,1630152    ,ROYAL KONA RESORT,75-5852 ALII DRIVE,,KAILUA KONA,HI,50,ON ,0008048030001,265,101079,12.332,3015.60
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY GIN,GIN IMPORTED,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,1.0L,LT ,11291,GIN IMPORTED,HOUSE OF BOMBAY,5027,1630152    ,ROYAL KONA RESORT,75-5852 ALII DRIVE,,KAILUA KONA,HI,50,ON ,0008048030101,265,101079,1.995,854.08
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY GIN,GIN IMPORTED,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,750ML,ML ,11292,GIN IMPORTED,HOUSE OF BOMBAY,5027,1630152    ,ROYAL KONA RESORT,75-5852 ALII DRIVE,,KAILUA KONA,HI,50,ON ,0008048030102,265,101079,0.831,240.80
CASTILLO RUM GOLD 80,BACARDI USA INC,SPIRITS,RUM,CASTILLO RUM,RUM,Liquor Products,CASTILLO RUMS,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,1.0L,LT ,28765,RUM IMPORTED,HOUSE OF CASTILLO,5027,1630152    ,ROYAL KONA RESORT,75-5852 ALII DRIVE,,KAILUA KONA,HI,50,ON ,0008048007530,243,101079,20.916,1914.66
CASTILLO RUM SILVER 80,BACARDI USA INC,SPIRITS,RUM,CASTILLO RUM,RUM,Liquor Products,CASTILLO RUMS,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,WHITE,1.0L,LT ,28768,RUM IMPORTED,HOUSE OF CASTILLO,5027,1630152    ,ROYAL KONA RESORT,75-5852 ALII DRIVE,,KAILUA KONA,HI,50,ON ,0008048006530,243,101079,15.000,1359.31
CAZADORES TEQ BLANCO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES (TEQUILA),TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,535798,TEQUILA,HOUSE OF CAZADORES,5027,1630152    ,ROYAL KONA RESORT,75-5852 ALII DRIVE,,KAILUA KONA,HI,50,ON ,0008048017202,261,101079,3.000,749.94
