item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
BACARDI RUM GOLD RSV OCHO 8YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI 8,RUM DOMESTIC,Liquor Products,BACARDI 8,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,750ML,ML ,893644,DARK RUM DOMESTIC,HOUSE OF BACARDI,95982,2233482    ,MASONIC AUDITORIUM,1030 ILLINOIS ST,,SAN FRANCISCO,CA,25,ON ,0008048050540,4791,101079,1.000,247.00
BACARDI RUM GOLD RSV OCHO 8YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI 8,RUM DOMESTIC,Liquor Products,BACARDI 8,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,1.0L,LT ,893641,DARK RUM DOMESTIC,HOUSE OF BACARDI,95982,2233482    ,MASONIC AUDITORIUM,1030 ILLINOIS ST,,SAN FRANCISCO,CA,25,ON ,0008048050530,4791,101079,7.000,1029.24
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,95982,2233482    ,MASONIC AUDITORIUM,1030 ILLINOIS ST,,SAN FRANCISCO,CA,25,ON ,0008048028001,1265,101079,9.000,1476.00
PATRON TEQ SILVER 80 10/6PK,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,50ML,ML ,565987,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,95982,2233482    ,MASONIC AUDITORIUM,1030 ILLINOIS ST,,SAN FRANCISCO,CA,25,ON ,0072173350023,4160,101079,1.000,238.00
APEROL APERITIVO 22,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,APEROL,CORDIALS IMPORTED,Liquor Products,APEROL,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,22.00,,ORANGE,1.0L,LT ,557367,FLAVORED CORDIAL IMPORTED,APEROL,95982,2233482    ,MASONIC AUDITORIUM,1030 ILLINOIS ST,,SAN FRANCISCO,CA,25,ON ,0072105900238,3208,100478,15.000,2402.11
APEROL APERITIVO 22,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,APEROL,APERITIF / BITTERS IMPORTED,Liquor Products,APEROL,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,22.00,,ORANGE,750ML,ML ,557366,NONE,APEROL,95982,2233482    ,MASONIC AUDITORIUM,1030 ILLINOIS ST,,SAN FRANCISCO,CA,25,ON ,0072105900131,3208,100478,6.000,820.20
CAMPARI APERITIVO 48,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,CAMPARI,APERITIF / BITTERS IMPORTED,Liquor Products,CAMPARI,BLEND-PROPRIETARY,DNA--LOMBARDY,LOMBARDY,ITALY,48.00,,RED,1.0L,LT ,980581,NONE,CAMPARI,95982,2233482    ,MASONIC AUDITORIUM,1030 ILLINOIS ST,,SAN FRANCISCO,CA,25,ON ,0002105904100,1360,100478,4.000,1476.00
CINZANO VERMOUTH ROSSO(SWEET),CAMPARI AMERICA,WINE,VERMOUTH,CINZANO VERMOUTH,VERMOUTH FORTIFIED IMPORTED,Wine & Wine Coolers,CINZANO VERMOUTH,BLEND-BOTANICALS,DNA--PIEDMONT,PIEDMONT,ITALY,0.00,BLEND-OTHER,RED,750ML,ML ,58244,NONE,CINZANO VERMOUTH,95982,2233482    ,MASONIC AUDITORIUM,1030 ILLINOIS ST,,SAN FRANCISCO,CA,25,ON ,0008678590001,41362,100478,2.000,184.80
FRANGELICO LIQ 40,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,FRANGELICO LIQUEUR,CORDIALS IMPORTED,Liquor Products,FRANGELICO LIQUEUR,HAZELNUT,DNA--ITALY,DNA--ITALY,ITALY,40.00,,WHITE,1.0L,LT ,311648,FLAVORED CORDIAL IMPORTED,FRANGELICO LIQUEUR,95982,2233482    ,MASONIC AUDITORIUM,1030 ILLINOIS ST,,SAN FRANCISCO,CA,25,ON ,0072105998100,1022,100478,5.333,2249.91
GRAND MARNIER 80,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,GRAND MARNIER LESS CUVEES,CORDIALS IMPORTED,Liquor Products,GRAND MARNIER LESS CUVEES,ORANGE,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,BLEND-COGNAC,TAWNY/BROWN,1.0L,LT ,991348,FLAVORED CORDIAL IMPORTED,GRAND MARNIER,95982,2233482    ,MASONIC AUDITORIUM,1030 ILLINOIS ST,,SAN FRANCISCO,CA,25,ON ,0064918890048,167,100478,1.000,226.77
