item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
CARLETTO MONTEPULCIANO ABRUZZO(SC),AREL GROUP WINE & SPIRITS,WINE,RED WINE,CARLETTO,ITALIAN WINES,Wine & Wine Coolers,CARLETTO,,MONTEPULCIANO D'ABRUZZO,ABRUZZI,ITALY,0.00,MONTEPULCIANO,RED,750ML,ML ,403242,ABRUZZO RED,CARLETTO,9334,5220285    ,ARANCINO AT THE KAHALA,5000 KAHALA AVE,,HONOLULU,HI,50,ON ,0081364500272,6501,102977,1.000,121.48
ARMAND DE BRIGNAC BRUT BAG,ARMAND DE BRIGNAC/PARK STREET,WINE,SPARKLING WINE,ARMAND DEL BRIGNAC (PARK ST),CHAMPAGNE/SPKL FRNCH,Wine & Wine Coolers,ACE OF SPADES,,CHAMPAGNE,CHAMPAGNE,FRANCE,0.00,BLEND-CHAMPAGNE,WHITE,750ML,ML ,565544,SPARKLING WINE CHAMPAGNE,ARMAND DE BRIGNAC,9334,5220285    ,ARANCINO AT THE KAHALA,5000 KAHALA AVE,,HONOLULU,HI,50,ON ,0008175383603,2579,116075,0.332,544.00
AU BON CLIMAT CHARD 30TH VIN CEL15,AU BON CLIMAT,WINE,WHITE WINE,AU BON CLIMAT,WINE DOMESTIC,Wine & Wine Coolers,AU BON CLIMAT,,SANTA YNEZ VALLEY,CALIFORNIA,UNITED STATES,0.00,CHARDONNAY,WHITE,750ML,ML ,968439,AMERICAN WINERIES,AU BON CLIMAT,9334,5220285    ,ARANCINO AT THE KAHALA,5000 KAHALA AVE,,HONOLULU,HI,50,ON ,0000000000000,8268,100032,5.000,1140.00
AU BON CLIMAT CHARD 35TH ANNIV 15,AU BON CLIMAT,WINE,WHITE WINE,AU BON CLIMAT,WINE DOMESTIC,Wine & Wine Coolers,AU BON CLIMAT,,SANTA MARIA VALLEY,CALIFORNIA,UNITED STATES,0.00,CHARDONNAY,WHITE,750ML,ML ,968438,AMERICAN WINERIES,AU BON CLIMAT,9334,5220285    ,ARANCINO AT THE KAHALA,5000 KAHALA AVE,,HONOLULU,HI,50,ON ,0000000000000,8268,100032,1.000,254.50
AU BON CLIMAT CHARD NUIT BLANCH 19,AU BON CLIMAT,WINE,WHITE WINE,AU BON CLIMAT,WINE DOMESTIC,Wine & Wine Coolers,AU BON CLIMAT,,SANTA MARIA VALLEY,CALIFORNIA,UNITED STATES,0.00,CHARDONNAY,WHITE,750ML,ML ,572097,AMERICAN WINERIES,AU BON CLIMAT,9334,5220285    ,ARANCINO AT THE KAHALA,5000 KAHALA AVE,,HONOLULU,HI,50,ON ,0085075500026,8268,100032,0.333,65.34
AU BON CLIMAT CHARD SANF&BENED 20,AU BON CLIMAT,WINE,WHITE WINE,AU BON CLIMAT,WINE DOMESTIC,Wine & Wine Coolers,AU BON CLIMAT,,SANTA YNEZ VALLEY,CALIFORNIA,UNITED STATES,0.00,CHARDONNAY,WHITE,750ML,ML ,600361,AMERICAN WINERIES,AU BON CLIMAT,9334,5220285    ,ARANCINO AT THE KAHALA,5000 KAHALA AVE,,HONOLULU,HI,50,ON ,0085075500021,8268,100032,2.000,738.00
AU BON CLIMAT CHARD SANF&BENED 21,AU BON CLIMAT,WINE,WHITE WINE,AU BON CLIMAT,WINE DOMESTIC,Wine & Wine Coolers,AU BON CLIMAT,,SANTA YNEZ VALLEY,CALIFORNIA,UNITED STATES,0.00,CHARDONNAY,WHITE,750ML,ML ,611422,AMERICAN WINERIES,AU BON CLIMAT,9334,5220285    ,ARANCINO AT THE KAHALA,5000 KAHALA AVE,,HONOLULU,HI,50,ON ,0085075500021,8268,100032,2.000,738.00
AU BON CLIMAT P NOIR ISABELLE 19,AU BON CLIMAT,WINE,RED WINE,AU BON CLIMAT,WINE DOMESTIC,Wine & Wine Coolers,AU BON CLIMAT,,DNA--CALIFORNIA,CALIFORNIA,UNITED STATES,0.00,PINOT NOIR,RED,750ML,ML ,534389,AMERICAN WINERIES,AU BON CLIMAT,9334,5220285    ,ARANCINO AT THE KAHALA,5000 KAHALA AVE,,HONOLULU,HI,50,ON ,0085075500024,8268,100032,4.000,936.00
AU BON CLIMAT P NOIR ISABELLE 20,AU BON CLIMAT,WINE,RED WINE,AU BON CLIMAT,WINE DOMESTIC,Wine & Wine Coolers,AU BON CLIMAT,,DNA--CALIFORNIA,CALIFORNIA,UNITED STATES,0.00,PINOT NOIR,RED,750ML,ML ,584898,AMERICAN WINERIES,AU BON CLIMAT,9334,5220285    ,ARANCINO AT THE KAHALA,5000 KAHALA AVE,,HONOLULU,HI,50,ON ,0085075500024,8268,100032,1.000,297.00
AU BON CLIMAT P NOIR KNOX ALEX 20,AU BON CLIMAT,WINE,RED WINE,AU BON CLIMAT,WINE DOMESTIC,Wine & Wine Coolers,AU BON CLIMAT,,SANTA MARIA VALLEY,CALIFORNIA,UNITED STATES,0.00,PINOT NOIR,RED,750ML,ML ,618880,AMERICAN WINERIES,AU BON CLIMAT,9334,5220285    ,ARANCINO AT THE KAHALA,5000 KAHALA AVE,,HONOLULU,HI,50,ON ,0085075500023,8268,100032,1.833,533.50
