item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
ARIZONA STRONGHOLD DAYDEN PINK,ARIZONA STRONGHOLD VINEYARDS,WINE,BLUSH/ROSE WINE,ARIZONA STRONGHOLD,OTHER RED,Wine & Wine Coolers,ARIZONA STRONGHOLD,,DNA--ARIZONA,ARIZONA,UNITED STATES,0.00,BLEND-OTHER,PINK,750ML,ML ,470601,,ARIZONA STRONGHOLD,20061,1831626    ,JW MARRIOTT STAR PASS RESORT &,3800 STAR PASS BLVD,,TUCSON,AZ,40,ON ,0085923800203,1139,112189,4.000,618.92
ARIZONA STRONGHOLD NACHISE RED,ARIZONA STRONGHOLD VINEYARDS,WINE,RED WINE,ARIZONA STRONGHOLD,OTHER RED,Wine & Wine Coolers,ARIZONA STRONGHOLD,,DNA--ARIZONA,ARIZONA,UNITED STATES,0.00,BLEND-OTHER,RED,750ML,ML ,933949,,ARIZONA STRONGHOLD,20061,1831626    ,JW MARRIOTT STAR PASS RESORT &,3800 STAR PASS BLVD,,TUCSON,AZ,40,ON ,0085923800204,1139,112189,17.000,3160.81
LA PERLINA MOSCATO,AUGUST WINE GROUP,WINE,WHITE WINE,LA PERLINA,SPARKLING IMPORTED,Wine & Wine Coolers,LA PERLINA,,PUGLIA,APULIA,ITALY,0.00,MOSCATO,WHITE,750ML,ML ,318026,GROUP 9999,LA PERLINA,20061,1831626    ,JW MARRIOTT STAR PASS RESORT &,3800 STAR PASS BLVD,,TUCSON,AZ,40,ON ,0089392800266,3090,104707,46.000,4850.78
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY,WHISKEY BOURBON,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,ANGELS ENVY,HOUSE OF BACARDI PRESTIGE BRANDS,20061,1831626    ,JW MARRIOTT STAR PASS RESORT &,3800 STAR PASS BLVD,,TUCSON,AZ,40,ON ,0085004700300,846,101079,30.000,6591.32
ANGELS ENVY BBN CLUBS 86.6PAD(48),BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY,WHISKEY BOURBON,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,570898,,HOUSE OF BACARDI PRESTIGE BRANDS,20061,1831626    ,JW MARRIOTT STAR PASS RESORT &,3800 STAR PASS BLVD,,TUCSON,AZ,40,ON ,0085004700300,846,101079,1.000,437.88
ANGELS ENVY RYE WSKY 100,BACARDI USA INC,SPIRITS,STRAIGHT RYE WHISKY,ANGELS ENVY,RUM,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,100.00,RYE,TAWNY/BROWN,750ML,ML ,410753,ANGELS ENVY,HOUSE OF BACARDI PRESTIGE BRANDS,20061,1831626    ,JW MARRIOTT STAR PASS RESORT &,3800 STAR PASS BLVD,,TUCSON,AZ,40,ON ,0085004700306,846,101079,5.000,1916.68
BACARDI RUM GOLD RSV OCHO 8YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI 8,RUM,Liquor Products,BACARDI 8,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,1.0L,LT ,893641,,HOUSE OF BACARDI,20061,1831626    ,JW MARRIOTT STAR PASS RESORT &,3800 STAR PASS BLVD,,TUCSON,AZ,40,ON ,0008048050530,700,101079,0.166,28.69
BACARDI CKTL MOJITO 11.8 CAN6/4P,BACARDI USA INC,SPIRITS,COCKTAILS,BACARDI CLASSIC COCKTAILS,COCKTAILS,Liquor Products,BACARDI CLASSIC COCKTAILS,MINT,DNA--CANADA,DNA--CANADA,CANADA,11.80,,OTHER,355ML,ML ,984914,,HOUSE OF BACARDI,20061,1831626    ,JW MARRIOTT STAR PASS RESORT &,3800 STAR PASS BLVD,,TUCSON,AZ,40,ON ,0008048098628,770,101079,1.000,47.94
BACARDI CKTL RUM PUNCH 11.8 CAN6/4,BACARDI USA INC,SPIRITS,COCKTAILS,BACARDI CLASSIC COCKTAILS,COCKTAILS,Liquor Products,BACARDI CLASSIC COCKTAILS,TROPICAL,DNA--CANADA,DNA--CANADA,CANADA,11.80,,ORANGE,355ML,ML ,970726,,HOUSE OF BACARDI,20061,1831626    ,JW MARRIOTT STAR PASS RESORT &,3800 STAR PASS BLVD,,TUCSON,AZ,40,ON ,0008048098544,770,101079,4.000,191.76
BACARDI RUM SUPERIOR WHITE 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM SUPERIOR,RUM,Liquor Products,BACARDI SPR/G/S/B/151,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,WHITE,1.0L,LT ,28728,,HOUSE OF BACARDI,20061,1831626    ,JW MARRIOTT STAR PASS RESORT &,3800 STAR PASS BLVD,,TUCSON,AZ,40,ON ,0008048001530,709,101079,15.917,2531.67
