item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY BOURBON,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,4949,5244124    ,CHAMINADE AT SANTA CRUZ,1 CHAMINADE LN,,SANTA CRUZ,CA,25,ON ,0085004700300,4891,101079,0.332,76.00
BACARDI RUM GOLD RSV OCHO 8YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI 8,RUM DOMESTIC,Liquor Products,BACARDI 8,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,750ML,ML ,893644,DARK RUM DOMESTIC,HOUSE OF BACARDI,4949,5244124    ,CHAMINADE AT SANTA CRUZ,1 CHAMINADE LN,,SANTA CRUZ,CA,25,ON ,0008048050540,4791,101079,0.083,22.78
BACARDI RUM GOLD RSV OCHO 8YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI 8,RUM DOMESTIC,Liquor Products,BACARDI 8,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,1.0L,LT ,893641,DARK RUM DOMESTIC,HOUSE OF BACARDI,4949,5244124    ,CHAMINADE AT SANTA CRUZ,1 CHAMINADE LN,,SANTA CRUZ,CA,25,ON ,0008048050530,4791,101079,2.333,390.16
BACARDI RUM ANEJO CUATRO 4YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI ANEJO,RUM IMPORTED,Liquor Products,BACARDI CUATRO,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,1.0L,LT ,899136,ANEJO RUM,HOUSE OF BACARDI,4949,5244124    ,CHAMINADE AT SANTA CRUZ,1 CHAMINADE LN,,SANTA CRUZ,CA,25,ON ,0008048098339,4792,101079,0.499,57.61
BACARDI RUM GRAN RSV DIEZ 80,BACARDI USA INC,SPIRITS,RUM,BACARDI ANEJO,RUM IMPORTED,Liquor Products,BACARDI DIEZ,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,750ML,ML ,899308,ANEJO RUM,HOUSE OF BACARDI,4949,5244124    ,CHAMINADE AT SANTA CRUZ,1 CHAMINADE LN,,SANTA CRUZ,CA,25,ON ,0008048098340,4792,101079,0.666,122.80
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY SAPPHIRE,GIN IMPORTED,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,750ML,ML ,11292,NONE,HOUSE OF BOMBAY,4949,5244124    ,CHAMINADE AT SANTA CRUZ,1 CHAMINADE LN,,SANTA CRUZ,CA,25,ON ,0008048030102,3988,101079,1.329,356.88
CAZADORES TEQ BLANCO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES BLANCO,TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,1.0L,LT ,535809,,HOUSE OF CAZADORES,4949,5244124    ,CHAMINADE AT SANTA CRUZ,1 CHAMINADE LN,,SANTA CRUZ,CA,25,ON ,0008048017201,4833,101079,8.166,2103.00
CAZADORES TEQ REPOSADO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES REPOSADO,TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,1.0L,LT ,535796,,HOUSE OF CAZADORES,4949,5244124    ,CHAMINADE AT SANTA CRUZ,1 CHAMINADE LN,,SANTA CRUZ,CA,25,ON ,0008048017010,4834,101079,3.745,1616.58
GREY GOOSE VOD L'ORANGE 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE L'ORANGE,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,ORANGE,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,77032,FLAVORED VODKA IMPORTED,HOUSE OF GREY GOOSE,4949,5244124    ,CHAMINADE AT SANTA CRUZ,1 CHAMINADE LN,,SANTA CRUZ,CA,25,ON ,0008308956010,1266,101079,1.162,231.20
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,4949,5244124    ,CHAMINADE AT SANTA CRUZ,1 CHAMINADE LN,,SANTA CRUZ,CA,25,ON ,0008048028001,1265,101079,48.499,9131.64
