item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0008048028001,1265,101079,5.000,780.00
AVERNA AMARO 58,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,AMARO AVERNA,APERITIF / BITTERS IMPORTED,Liquor Products,AMARO AVERNA,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,58.00,,TAWNY/BROWN,1.0L,LT ,557371,NONE,AMARO AVERNA,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0800040020379,42949,100478,3.000,535.02
APEROL APERITIVO 22,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,APEROL,CORDIALS IMPORTED,Liquor Products,APEROL,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,22.00,,ORANGE,1.0L,LT ,557367,FLAVORED CORDIAL IMPORTED,APEROL,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0072105900238,3208,100478,44.332,6403.25
CINZANO VERMOUTH DRY,CAMPARI AMERICA,WINE,VERMOUTH,CINZANO VERMOUTH,VERMOUTH FORTIFIED IMPORTED,Wine & Wine Coolers,CINZANO VERMOUTH,BLEND-BOTANICALS,DNA--PIEDMONT,PIEDMONT,ITALY,0.00,BLEND-OTHER,WHITE,1.0L,LT ,58239,NONE,CINZANO VERMOUTH,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0008678590020,41362,100478,1.000,100.71
CINZANO VERMOUTH ROSSO(SWEET),CAMPARI AMERICA,WINE,VERMOUTH,CINZANO VERMOUTH,VERMOUTH FORTIFIED IMPORTED,Wine & Wine Coolers,CINZANO VERMOUTH,BLEND-BOTANICALS,DNA--PIEDMONT,PIEDMONT,ITALY,0.00,BLEND-OTHER,RED,1.0L,LT ,58243,NONE,CINZANO VERMOUTH,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0008678590017,41362,100478,1.000,100.71
ESPOLON TEQ BLANCO 80,CAMPARI AMERICA,SPIRITS,TEQUILA,ESPOLON,TEQUILA,Liquor Products,ESPOLON BLANCO,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,1.0L,LT ,314814,SILVER / PLATA TEQUILA,ESPOLON,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0072105970100,752,100478,35.000,4622.50
GLEN GRANT SCO SMALT 12YR 86,CAMPARI AMERICA,SPIRITS,SCOTCH,GLEN GRANT,WHISKEY IMPORTED,Liquor Products,GLEN GRANT 12YO,,SPEYSIDE,SCOTLAND,UNITED KINGDOM,86.00,BARLEY,TAWNY/BROWN,750ML,ML ,417696,SINGLE MALTS,GLEN GRANT,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0072105900234,640,100478,2.000,446.80
CASA DRAGONES TEQ BLANCO 80,CASA DRAGONES TEQUILA/MHW LTD,SPIRITS,TEQUILA,CASA DRAGONES BLANCO,TEQUILA,Liquor Products,CASA DRAGONES TEQUILA BLANCO,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,360265,SILVER / PLATA TEQUILA,CASA DRAGONES,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0073604053273,3186,105491,13.000,3036.00
CASA NOBLE TEQ REPOSADO 80,CONSTELLATION BRANDS,SPIRITS,TEQUILA,CASA NOBLE REPO/ANEJO/JOVEN T2,TEQUILA,Liquor Products,CASA NOBLE,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,992946,REPOSADO TEQUILA,CBI ASPIRA CRAFT SPIRITS,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0008124004481,3656,100092,1.000,219.00
AVIATION GIN 84,DIAGEO SPIRITS,SPIRITS,GIN,AVIATION,GIN DOMESTIC,Liquor Products,AVIATION GIN,BLEND-BOTANICALS,DNA--OREGON,OREGON,UNITED STATES,84.00,BLEND-GRAINS,WHITE,750ML,ML ,314106,NONE,AVIATION GIN,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0085350700002,5577,100534,0.166,29.00
BAILEYS IRISH CREAM 34,DIAGEO SPIRITS,SPIRITS,CORDIALS/LIQUORS,BAILEYS,CORDIALS IMPORTED,Liquor Products,BAILEYS ORIGINAL,CREAM,DNA--IRELAND,DNA--IRELAND,IRELAND,34.00,BLEND-GRAINS,OTHER,1.0L,LT ,332775,CREAMS IMPORTED,BAILEYS,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0008676721004,3517,100534,3.000,894.00
BULLEIT 95 RYE 90,DIAGEO SPIRITS,SPIRITS,STRAIGHT RYE WHISKY,BULLEIT RYE,WHISKEY DOMESTIC,Liquor Products,BULLEIT,,DNA--UNITED STATES,DNA--UNITED STATES,UNITED STATES,90.00,RYE,TAWNY/BROWN,750ML,ML ,469598,RYE WHISKEY,BULLEIT,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0008200075296,1042,100534,3.000,837.00
BULLEIT 95 RYE 90,DIAGEO SPIRITS,SPIRITS,STRAIGHT RYE WHISKY,BULLEIT RYE,WHISKEY DOMESTIC,Liquor Products,BULLEIT,,DNA--UNITED STATES,DNA--UNITED STATES,UNITED STATES,90.00,RYE,TAWNY/BROWN,1.0L,LT ,443649,RYE WHISKEY,BULLEIT,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0008200075297,1042,100534,10.000,3110.00
DICKEL RYE WHISKY 90,DIAGEO SPIRITS,SPIRITS,STRAIGHT RYE WHISKY,GEORGE DICKEL RYE,WHISKEY DOMESTIC,Liquor Products,GEORGE DICKEL,,DNA--TENNESSEE,TENNESSEE,UNITED STATES,90.00,RYE,TAWNY/BROWN,1.0L,LT ,328820,RYE WHISKEY,GEORGE DICKEL,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0008200075946,2108,100534,1.000,186.00
GORDONS GIN 80,DIAGEO SPIRITS,SPIRITS,GIN,GORDONS GIN,GIN DOMESTIC,Liquor Products,GORDONS GIN,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,80.00,BLEND-GRAINS,WHITE,1.0L,LT ,317959,NONE,GORDONS GIN,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0008860000001,188,100534,20.000,1908.00
JOHNNIE WALKER BLACK 80 BAR,DIAGEO SPIRITS,SPIRITS,SCOTCH,J WALKER BLACK,WHISKEY IMPORTED,Liquor Products,JOHNNIE WALKER LOWER MARQUES,,DNA--SCOTLAND,SCOTLAND,UNITED KINGDOM,80.00,BLEND-GRAINS,TAWNY/BROWN,1.0L,LT ,24672,BLENDED SCOTCH,JOHNNIE WALKER,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0008811001140,152,100534,3.000,1329.00
KETEL ONE VODKA 80,DIAGEO SPIRITS,SPIRITS,VODKA,KETEL ONE,VODKA IMPORTED,Liquor Products,KETEL ONE VODKA,,DNA--HOLLAND,HOLLAND,NETHERLANDS,80.00,WHEAT,WHITE,1.0L,LT ,36126,VODKA IMPORTED,KETEL ONE VODKA,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0008515661041,4233,100534,11.000,3336.75
KIKORI WHISKEY THE WOODSMAN 82,DIAGEO SPIRITS,SPIRITS,DISTILLED SPIRIT SPECIALTY,KIKORI WHISKEY 82,WHISKEY IMPORTED,Liquor Products,KIKORI,,DNA--JAPAN,DNA--JAPAN,JAPAN,82.00,,TAWNY/BROWN,750ML,ML ,399844,JAPANESE WHISKEY,KIKORI,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0085136200600,3884,100534,3.000,400.50
SMIRNOFF VODKA 80,DIAGEO SPIRITS,SPIRITS,VODKA,SMIRNOFF VODKA 80,VODKA DOMESTIC,Liquor Products,SMIRNOFF BASE,,DNA--UNITED STATES,DNA--UNITED STATES,UNITED STATES,80.00,BLEND-GRAINS,WHITE,1.0L,LT ,390982,VODKA DOMESTIC,SMIRNOFF,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0008200000005,2437,100534,13.000,1446.25
UNION MEZCAL UNO JOVEN 80       DS,DIAGEO SPIRITS,SPIRITS,TEQUILA,UNION UNO,MEZCAL,Liquor Products,UNION MEZCAL,,DNA--OAXACA,OAXACA,MEXICO,80.00,MAGUEY/MEZCAL,WHITE,750ML,ML ,412996,SILVER / PLATA MEZCAL,UNION MEZCAL,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0750301623001,4846,100534,3.000,423.00
YUZURI YUZU LIQUEUR 60.6,DIAGEO SPIRITS,SPIRITS,CORDIALS/LIQUORS,YUZURI YUZU,CORDIALS IMPORTED,Liquor Products,YUZURI,CITRUS,DNA--JAPAN,DNA--JAPAN,JAPAN,60.60,,YELLOW,750ML,ML ,992434,FLAVORED CORDIAL IMPORTED,YUZURI,70351,3440486    ,CAFE 5 WAREHOUSE,1798 BRYANT ST,,SAN FRANCISCO,CA,25,ON ,0085136200601,5617,100534,11.000,1614.00
