item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
PATRON TEQ ANEJO 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SPIRITS SELECTIONS,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,327,ANEJO TEQUILA,PATRON SPIRITS COMPANY,13186,2600420    ,GREAT WOLF LODGE,100 GREAT WOLF DR,,CENTRALIA,WA,95,ON ,0072173300001,7885,101079,0.915,566.05
PATRON TEQ SILVER 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SPIRITS SELECTIONS,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,328,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,13186,2600420    ,GREAT WOLF LODGE,100 GREAT WOLF DR,,CENTRALIA,WA,95,ON ,0072173300002,7885,101079,8.410,4593.46
PATRON TEQ SILVER 80 BAR,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SPIRITS SELECTIONS,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,109101,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,13186,2600420    ,GREAT WOLF LODGE,100 GREAT WOLF DR,,CENTRALIA,WA,95,ON ,0072173300002,7885,101079,2.000,513.96
CAMPARI APERITIVO 48,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,CAMPARI,APERITIF / BITTERS IMPORTED,Liquor Products,CAMPARI,BLEND-PROPRIETARY,DNA--ITALY,DNA--ITALY,ITALY,48.00,,WHITE,1.0L,LT ,606739,NONE,CAMPARI,13186,2600420    ,GREAT WOLF LODGE,100 GREAT WOLF DR,,CENTRALIA,WA,95,ON ,0072105904100,3211,100478,1.000,167.88
OYSTER BAY SAUVIGNON BLANC(SC),DELEGAT USA INC,WINE,WHITE WINE,OYSTER BAY,NEW ZEALAND,Wine & Wine Coolers,OYSTER BAY,,DNA--MARLBOROUGH,SOUTH ISLAND,NEW ZEALAND,0.00,SAUVIGNON BLANC,WHITE,750ML,ML ,127630,NEW ZEALAND ALL REGIONS,OYSTER BAY,13186,2600420    ,GREAT WOLF LODGE,100 GREAT WOLF DR,,CENTRALIA,WA,95,ON ,0087066100802,9009,105187,51.000,5184.00
JOSH CELLARS CABERNET SAUVIGNON,DEUTSCH FAMILY WINE & SPIRITS,WINE,RED WINE,JOSH CELLARS,CA - SONOMA,Wine & Wine Coolers,JOSH CELLARS,,DNA--CALIFORNIA,CALIFORNIA,UNITED STATES,0.00,CABERNET SAUVIGNON,RED,750ML,ML ,975058,MISC. AVA SONOMA,DFWS MUST MAKE,13186,2600420    ,GREAT WOLF LODGE,100 GREAT WOLF DR,,CENTRALIA,WA,95,ON ,0085774400131,6639,100564,24.000,2853.00
CROWN ROYAL CANADIAN 80 YRC,DIAGEO SPIRITS,SPIRITS,CANADIAN WHISKEY,CROWN ROYAL,WHISKEY IMPORTED,Liquor Products,CROWN ROYAL,,DNA--CANADA,DNA--CANADA,CANADA,80.00,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,631491,CANADIAN WHISKEY,CROWN ROYAL,13186,2600420    ,GREAT WOLF LODGE,100 GREAT WOLF DR,,CENTRALIA,WA,95,ON ,0008700000725,437,100534,2.500,749.40
CROWN ROYAL CANADIAN 80 YRC,DIAGEO SPIRITS,SPIRITS,CANADIAN WHISKEY,CROWN ROYAL,WHISKEY IMPORTED,Liquor Products,CROWN ROYAL,,DNA--CANADA,DNA--CANADA,CANADA,80.00,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,49005,CANADIAN WHISKEY,CROWN ROYAL,13186,2600420    ,GREAT WOLF LODGE,100 GREAT WOLF DR,,CENTRALIA,WA,95,ON ,0008700000725,437,100534,1.750,505.68
JOHNNIE WALKER BLACK 80,DIAGEO SPIRITS,SPIRITS,SCOTCH,JOHNNIE WALKER,WHISKEY IMPORTED,Liquor Products,JOHNNIE WALKER LOWER MARQUES,,DNA--SCOTLAND,SCOTLAND,UNITED KINGDOM,80.00,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,268195,BLENDED SCOTCH,JOHNNIE WALKER,13186,2600420    ,GREAT WOLF LODGE,100 GREAT WOLF DR,,CENTRALIA,WA,95,ON ,0008811001130,2649,100534,1.498,608.04
TANQUERAY GIN 94.6,DIAGEO SPIRITS,SPIRITS,GIN,TANQUERAY,GIN IMPORTED,Liquor Products,TANQUERAY GIN,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.60,BLEND-GRAINS,WHITE,750ML,ML ,278244,NONE,TANQUERAY GIN,13186,2600420    ,GREAT WOLF LODGE,100 GREAT WOLF DR,,CENTRALIA,WA,95,ON ,0008811011030,1262,100534,0.166,41.24
TANQUERAY GIN 94.6,DIAGEO SPIRITS,SPIRITS,GIN,TANQUERAY,GIN IMPORTED,Liquor Products,TANQUERAY GIN,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.60,BLEND-GRAINS,WHITE,1.0L,LT ,278078,NONE,TANQUERAY GIN,13186,2600420    ,GREAT WOLF LODGE,100 GREAT WOLF DR,,CENTRALIA,WA,95,ON ,0008811011040,1262,100534,0.583,186.17
