item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
AU BON CLIMAT P BLANC P GRIS 20,AU BON CLIMAT,WINE,WHITE WINE,AU BON CLIMAT,WINE DOMESTIC,Wine & Wine Coolers,AU BON CLIMAT,,DNA--SANTA BARBARA COUNTY,CALIFORNIA,UNITED STATES,0.00,BLEND-OTHER,WHITE,750ML,ML ,539160,AMERICAN WINERIES,AU BON CLIMAT,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0085075500001,8268,100032,1.000,185.00
AU BON CLIMAT P BLANC P GRIS 21,AU BON CLIMAT,WINE,WHITE WINE,AU BON CLIMAT,WINE DOMESTIC,Wine & Wine Coolers,AU BON CLIMAT,,SANTA MARIA VALLEY,CALIFORNIA,UNITED STATES,0.00,BLEND-OTHER,WHITE,750ML,ML ,554797,AMERICAN WINERIES,AU BON CLIMAT,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0085075500001,8268,100032,4.000,740.00
AU BON CLIMAT P BLANC P GRIS 22,AU BON CLIMAT,WINE,WHITE WINE,AU BON CLIMAT,WINE DOMESTIC,Wine & Wine Coolers,AU BON CLIMAT,,SANTA MARIA VALLEY,CALIFORNIA,UNITED STATES,0.00,BLEND-OTHER,WHITE,750ML,ML ,604903,AMERICAN WINERIES,AU BON CLIMAT,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0085075500001,8268,100032,2.000,372.00
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY,WHISKEY STRGHT/IRISH,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,WHISKEY BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0085004700300,371,101079,0.498,133.94
ANGELS ENVY BBN PS(HAWAII230625F24,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY,WHISKEY STRGHT/IRISH,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,110.00,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,612833,WHISKEY BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048098635,371,101079,2.000,839.88
BACARDI RUM GOLD 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI SPR/G/S/B/151,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,750ML,ML ,28716,RUM IMPORTED,HOUSE OF BACARDI,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048002540,241,101079,6.000,647.28
BACARDI RUM GOLD 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI SPR/G/S/B/151,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,1.0L,LT ,28715,RUM IMPORTED,HOUSE OF BACARDI,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048002530,241,101079,75.166,10793.22
BACARDI RUM GOLD RSV OCHO 8YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI 8,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,1.0L,LT ,893641,RUM IMPORTED,HOUSE OF BACARDI,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048050530,241,101079,140.832,19716.52
BACARDI RUM GRAN RSV DIEZ 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI DIEZ,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,750ML,ML ,899308,RUM IMPORTED,HOUSE OF BACARDI,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048098340,241,101079,4.000,657.00
BACARDI RUM SUPERIOR WHITE 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI SPR/G/S/B/151,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,WHITE,750ML,ML ,28729,RUM IMPORTED,HOUSE OF BACARDI,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048001540,241,101079,3.000,440.76
BACARDI RUM SUPERIOR WHITE 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI SPR/G/S/B/151,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,WHITE,1.0L,LT ,28728,RUM IMPORTED,HOUSE OF BACARDI,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048001530,241,101079,298.500,42881.72
BOMBAY DRY GIN 86,BACARDI USA INC,SPIRITS,GIN,BOMBAY GIN,GIN IMPORTED,Liquor Products,BOMBAY ORIGINAL,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,86.00,BLEND-GRAINS,WHITE,1.0L,LT ,11286,GIN IMPORTED,HOUSE OF BOMBAY,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048030001,265,101079,7.000,1584.56
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY GIN,GIN IMPORTED,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,750ML,ML ,11292,GIN IMPORTED,HOUSE OF BOMBAY,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048030102,265,101079,7.000,1632.54
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY GIN,GIN IMPORTED,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,375ML,ML ,29102,GIN IMPORTED,HOUSE OF BOMBAY,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048030103,265,101079,2.000,265.00
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY GIN,GIN IMPORTED,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,1.0L,LT ,11291,GIN IMPORTED,HOUSE OF BOMBAY,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048030101,265,101079,24.000,8320.96
CAZADORES TEQ ANEJO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES (TEQUILA),TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,1.0L,LT ,535802,TEQUILA,HOUSE OF CAZADORES,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048017251,261,101079,6.000,1399.15
CAZADORES TEQ BLANCO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES (TEQUILA),TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,1.0L,LT ,535809,TEQUILA,HOUSE OF CAZADORES,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048017201,261,101079,6.000,2196.04
CAZADORES TEQ REPOSADO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES (TEQUILA),TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,1.0L,LT ,535796,TEQUILA,HOUSE OF CAZADORES,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048017010,261,101079,11.500,4441.58
CAZADORES TEQ REPOSADO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES (TEQUILA),TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,535797,TEQUILA,HOUSE OF CAZADORES,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048017002,261,101079,1.000,249.98
GREY GOOSE VOD ESS WHITEP&ROSEM 60,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE VOD ESS,VODKA IMPORTED,Liquor Products,GREY GOOSE ESSENCE VODKAS,PEACH,DNA--FRANCE,DNA--FRANCE,FRANCE,60.00,WHEAT,WHITE,1.0L,LT ,972687,VODKA IMPORTED,HOUSE OF GREY GOOSE,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048098575,1039,101079,6.000,1031.86
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE VODKA,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,375ML,ML ,38168,VODKA IMPORTED,HOUSE OF GREY GOOSE,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048028003,1714,101079,1.000,138.52
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE VODKA,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008308955010,1714,101079,101.000,17752.59
ILEGAL MEZCAL JOVEN 80,BACARDI USA INC,SPIRITS,TEQUILA,ILEGAL MEZCAL,TEQUILA,Liquor Products,ILEGAL,,DNA--OAXACA,OAXACA,MEXICO,80.00,MAGUEY/MEZCAL,WHITE,750ML,ML ,990142,TEQUILA,ILEGAL,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008974475735,686,101079,0.166,39.73
LEBLON CACHACA 80,BACARDI USA INC,SPIRITS,RUM,LEBLON CACHACA,RUM,Liquor Products,CACHACA RUM,,DNA--BRAZIL,DNA--BRAZIL,BRAZIL,80.00,,WHITE,1.0L,LT ,484344,CACHACA,HOUSE OF NICHE BRANDS,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0008048000726,8966,101079,2.000,384.43
MARTINI&ROSSI VERMOUTH EXTRA DRY,BACARDI USA INC,WINE,VERMOUTH,MARTINI & ROSSI,VERMOUTH/FORTIFIED,Wine & Wine Coolers,MARTINI VERMOUTH,BLEND-BOTANICALS,DNA--PIEDMONT,PIEDMONT,ITALY,0.00,BLEND-OTHER,WHITE,1.0L,LT ,615818,VERMOUTH IMPORTED,HOUSE OF MARTINI,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0001103442004,246,101079,1.000,59.30
MARTINI&ROSSI VERMOUTH EXTRA DRY,BACARDI USA INC,WINE,VERMOUTH,MARTINI & ROSSI,VERMOUTH/FORTIFIED,Wine & Wine Coolers,MARTINI VERMOUTH,BLEND-BOTANICALS,DNA--PIEDMONT,PIEDMONT,ITALY,0.00,BLEND-OTHER,WHITE,1.0L,LT ,442542,VERMOUTH IMPORTED,HOUSE OF MARTINI,6691,5220237    ,"FAIRMONT ORCHID, THE",ONE NORTH KANIKU DR,,KAMUELA,HI,50,ON ,0001103442004,246,101079,1.000,59.30
