item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY BOURBON,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,21791,5250601    ,SAN DIEGO PARADISE PT RESORT,1404 W VACATION RD,,SAN DIEGO,CA,20,ON ,0085004700300,4891,101079,4.499,979.98
ANGELS ENVY RYE WSKY 100,BACARDI USA INC,SPIRITS,STRAIGHT RYE WHISKY,ANGELS ENVY RYE,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,100.00,RYE,TAWNY/BROWN,750ML,ML ,410753,RYE WHISKEY,HOUSE OF BACARDI PRESTIGE BRANDS,21791,5250601    ,SAN DIEGO PARADISE PT RESORT,1404 W VACATION RD,,SAN DIEGO,CA,20,ON ,0085004700306,5205,101079,2.333,914.40
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY SAPPHIRE,GIN IMPORTED,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,750ML,ML ,11292,NONE,HOUSE OF BOMBAY,21791,5250601    ,SAN DIEGO PARADISE PT RESORT,1404 W VACATION RD,,SAN DIEGO,CA,20,ON ,0008048030102,3988,101079,1.000,246.36
CAZADORES TEQ REPOSADO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES REPOSADO,TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,1.0L,LT ,535796,,HOUSE OF CAZADORES,21791,5250601    ,SAN DIEGO PARADISE PT RESORT,1404 W VACATION RD,,SAN DIEGO,CA,20,ON ,0008048017010,4834,101079,1.000,390.08
CAZADORES TEQ REPOSADO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES REPOSADO,TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,1.75L,LT ,535908,,HOUSE OF CAZADORES,21791,5250601    ,SAN DIEGO PARADISE PT RESORT,1404 W VACATION RD,,SAN DIEGO,CA,20,ON ,0008048017000,4834,101079,0.000,0.00
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,21791,5250601    ,SAN DIEGO PARADISE PT RESORT,1404 W VACATION RD,,SAN DIEGO,CA,20,ON ,0008048028001,1265,101079,182.000,28637.28
PATRON TEQ ANEJO 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON ANEJO,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,327,ANEJO TEQUILA,PATRON SPIRITS COMPANY,21791,5250601    ,SAN DIEGO PARADISE PT RESORT,1404 W VACATION RD,,SAN DIEGO,CA,20,ON ,0072173300001,4157,101079,11.000,5695.20
PATRON TEQ ANEJO 80 BAR,BACARDI USA INC,SPIRITS,TEQUILA,PATRON ANEJO,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,469091,ANEJO TEQUILA,PATRON SPIRITS COMPANY,21791,5250601    ,SAN DIEGO PARADISE PT RESORT,1404 W VACATION RD,,SAN DIEGO,CA,20,ON ,0072173300315,4157,101079,1.500,383.40
PATRON TEQ REPOSADO 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON REPO,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,43177,REPOSADO TEQUILA,PATRON SPIRITS COMPANY,21791,5250601    ,SAN DIEGO PARADISE PT RESORT,1404 W VACATION RD,,SAN DIEGO,CA,20,ON ,0072173300015,4159,101079,12.000,5673.60
PATRON TEQ REPOSADO 80 BAR,BACARDI USA INC,SPIRITS,TEQUILA,PATRON REPO,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,469089,REPOSADO TEQUILA,PATRON SPIRITS COMPANY,21791,5250601    ,SAN DIEGO PARADISE PT RESORT,1404 W VACATION RD,,SAN DIEGO,CA,20,ON ,0072173300015,4159,101079,0.000,0.00
