item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
CHARLES SMITH BOOM BOOM SYRAH(SC),ACKLEY BRANDS LTD.,WINE,RED WINE,CHARLES SMITH,WASHINGTON,Wine & Wine Coolers,CHARLES SMITH WINES,,COLUMBIA VALLEY,WASHINGTON,UNITED STATES,0.00,SYRAH,RED,750ML,ML ,557159,MISC. AVA WASHINGTON,CHARLES SMITH WINES,46943,5217629    ,LA COSTA RESORT & SPA,2100 COSTA DEL MAR RD,,CARLSBAD,CA,20,ON ,0008600325304,8327,115896,3.000,396.00
CANDONI CHIANTI,AREL GROUP WINE & SPIRITS,WINE,RED WINE,CANDONI,ITALIAN WINES,Wine & Wine Coolers,CANDONI,,CHIANTI,TUSCANY,ITALY,0.00,SANGIOVESE,RED,750ML,ML ,68668,TUSCANY,CANDONI,46943,5217629    ,LA COSTA RESORT & SPA,2100 COSTA DEL MAR RD,,CARLSBAD,CA,20,ON ,0081364500257,43008,102977,1.000,108.00
CARLETTO PINOT GRIGIO,AREL GROUP WINE & SPIRITS,WINE,WHITE WINE,CARLETTO,ITALIAN WINES,Wine & Wine Coolers,CARLETTO,,DELLE VENEZIE,VENETO,ITALY,0.00,PINOT GRIGIO,WHITE,750ML,ML ,253843,VENETO,CARLETTO,46943,5217629    ,LA COSTA RESORT & SPA,2100 COSTA DEL MAR RD,,CARLSBAD,CA,20,ON ,0081364500284,1264,102977,2.000,168.00
MOODY HILLS RED BIB,ASV WINES INC,WINE,RED WINE,MOODY HILLS,CA - CALIFORNIA,Wine & Wine Coolers,MOODY HILLS,,DNA--CALIFORNIA,CALIFORNIA,UNITED STATES,0.00,BLEND-GENERIC,RED,18.0L,LT ,449014,CALIFORNIA,MOODY HILLS,46943,5217629    ,LA COSTA RESORT & SPA,2100 COSTA DEL MAR RD,,CARLSBAD,CA,20,ON ,0076166600185,5204,102453,66.000,3341.58
MOODY HILLS WHITE BIB,ASV WINES INC,WINE,WHITE WINE,MOODY HILLS,CA - CALIFORNIA,Wine & Wine Coolers,MOODY HILLS,,DNA--CALIFORNIA,CALIFORNIA,UNITED STATES,0.00,BLEND-GENERIC,WHITE,18.0L,LT ,449013,CALIFORNIA,MOODY HILLS,46943,5217629    ,LA COSTA RESORT & SPA,2100 COSTA DEL MAR RD,,CARLSBAD,CA,20,ON ,0076166600186,5204,102453,76.000,3837.09
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY BOURBON,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,46943,5217629    ,LA COSTA RESORT & SPA,2100 COSTA DEL MAR RD,,CARLSBAD,CA,20,ON ,0085004700300,4891,101079,42.490,9352.13
GREY GOOSE VOD L'ORANGE 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE L'ORANGE,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,ORANGE,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,77032,FLAVORED VODKA IMPORTED,HOUSE OF GREY GOOSE,46943,5217629    ,LA COSTA RESORT & SPA,2100 COSTA DEL MAR RD,,CARLSBAD,CA,20,ON ,0008308956010,1266,101079,4.000,749.04
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,46943,5217629    ,LA COSTA RESORT & SPA,2100 COSTA DEL MAR RD,,CARLSBAD,CA,20,ON ,0008048028001,1265,101079,184.000,29677.68
LEBLON CACHACA 80,BACARDI USA INC,SPIRITS,RUM,LEBLON CACHACA,RUM IMPORTED,Liquor Products,CACHACA RUM,,DNA--BRAZIL,DNA--BRAZIL,BRAZIL,80.00,,WHITE,1.0L,LT ,484344,CACHACA,HOUSE OF NICHE BRANDS,46943,5217629    ,LA COSTA RESORT & SPA,2100 COSTA DEL MAR RD,,CARLSBAD,CA,20,ON ,0008048000726,3478,101079,0.166,32.00
PATRON TEQ ANEJO 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON ANEJO,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,327,ANEJO TEQUILA,PATRON SPIRITS COMPANY,46943,5217629    ,LA COSTA RESORT & SPA,2100 COSTA DEL MAR RD,,CARLSBAD,CA,20,ON ,0072173300001,4157,101079,0.083,42.60
