item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY BOURBON,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,9470,5217599    ,FOUR SEASONS HOTEL,300 S DOHENY DR,,LOS ANGELES,CA,20,ON ,0085004700300,4891,101079,4.995,1181.50
ANGELS ENVY RYE WSKY 100,BACARDI USA INC,SPIRITS,STRAIGHT RYE WHISKY,ANGELS ENVY RYE,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,100.00,RYE,TAWNY/BROWN,750ML,ML ,410753,RYE WHISKEY,HOUSE OF BACARDI PRESTIGE BRANDS,9470,5217599    ,FOUR SEASONS HOTEL,300 S DOHENY DR,,LOS ANGELES,CA,20,ON ,0085004700306,5205,101079,2.165,875.70
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,375ML,ML ,38168,VODKA IMPORTED,HOUSE OF GREY GOOSE,9470,5217599    ,FOUR SEASONS HOTEL,300 S DOHENY DR,,LOS ANGELES,CA,20,ON ,0008048028003,1265,101079,25.000,3583.00
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,9470,5217599    ,FOUR SEASONS HOTEL,300 S DOHENY DR,,LOS ANGELES,CA,20,ON ,0008048028001,1265,101079,136.000,24031.44
GREY GOOSE VODKA 80 8/12PK,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,50ML,ML ,938544,VODKA IMPORTED,HOUSE OF GREY GOOSE,9470,5217599    ,FOUR SEASONS HOTEL,300 S DOHENY DR,,LOS ANGELES,CA,20,ON ,0008048028005,1265,101079,16.000,4152.32
GREY GOOSE VODKA 80 ALUM BTL 12PK,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,50ML,ML ,621954,VODKA IMPORTED,HOUSE OF GREY GOOSE,9470,5217599    ,FOUR SEASONS HOTEL,300 S DOHENY DR,,LOS ANGELES,CA,20,ON ,0008048098940,1265,101079,3.000,972.00
HAVANA CLUB RUM ANEJO BLANCO 80,BACARDI USA INC,SPIRITS,RUM,HAVANA CLUB SILVER,RUM IMPORTED,Liquor Products,HAVANA CLUB,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,WHITE,750ML,ML ,415222,LIGHT RUM IMPORTED,HOUSE OF NICHE BRANDS,9470,5217599    ,FOUR SEASONS HOTEL,300 S DOHENY DR,,LOS ANGELES,CA,20,ON ,0008048000689,5207,101079,14.500,2551.50
ILEGAL MEZCAL JOVEN 80,BACARDI USA INC,SPIRITS,TEQUILA,ILEGAL,MEZCAL,Liquor Products,ILEGAL,,DNA--OAXACA,OAXACA,MEXICO,80.00,MAGUEY/MEZCAL,WHITE,750ML,ML ,990142,SILVER / PLATA MEZCAL,ILEGAL,9470,5217599    ,FOUR SEASONS HOTEL,300 S DOHENY DR,,LOS ANGELES,CA,20,ON ,0008974475735,773,101079,1.000,180.00
PATRON TEQ ANEJO 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON ANEJO,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,327,ANEJO TEQUILA,PATRON SPIRITS COMPANY,9470,5217599    ,FOUR SEASONS HOTEL,300 S DOHENY DR,,LOS ANGELES,CA,20,ON ,0072173300001,4157,101079,0.166,91.45
PATRON TEQ GRAN BURDEOS ANEJO 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON GRAN BURDEOS,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,413873,ANEJO TEQUILA,PATRON SPIRITS COMPANY,9470,5217599    ,FOUR SEASONS HOTEL,300 S DOHENY DR,,LOS ANGELES,CA,20,ON ,0072173300097,4156,101079,0.333,377.20
