item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY BOURBON,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,93144,5260930    ,PAR 3 & THE LODGE,1700 COYOTE POINT DR,,SAN MATEO,CA,25,ON ,0085004700300,4891,101079,2.498,593.53
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY SAPPHIRE,GIN IMPORTED,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,750ML,ML ,11292,NONE,HOUSE OF BOMBAY,93144,5260930    ,PAR 3 & THE LODGE,1700 COYOTE POINT DR,,SAN MATEO,CA,25,ON ,0008048030102,3988,101079,0.166,43.66
CAZADORES TEQ BLANCO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES BLANCO,TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,1.0L,LT ,535809,,HOUSE OF CAZADORES,93144,5260930    ,PAR 3 & THE LODGE,1700 COYOTE POINT DR,,SAN MATEO,CA,25,ON ,0008048017201,4833,101079,1.081,431.20
CAZADORES TEQ REPOSADO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES REPOSADO,TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,1.0L,LT ,535796,,HOUSE OF CAZADORES,93144,5260930    ,PAR 3 & THE LODGE,1700 COYOTE POINT DR,,SAN MATEO,CA,25,ON ,0008048017010,4834,101079,1.580,691.78
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,93144,5260930    ,PAR 3 & THE LODGE,1700 COYOTE POINT DR,,SAN MATEO,CA,25,ON ,0008048028001,1265,101079,34.000,6522.96
GREY GOOSE VODKA 80 8/12PK,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,50ML,ML ,938544,VODKA IMPORTED,HOUSE OF GREY GOOSE,93144,5260930    ,PAR 3 & THE LODGE,1700 COYOTE POINT DR,,SAN MATEO,CA,25,ON ,0008048028005,1265,101079,4.000,1058.08
HAVANA CLUB RUM ANEJO CLASICO 80,BACARDI USA INC,SPIRITS,RUM,HAVANA CLUB GOLD,RUM IMPORTED,Liquor Products,HAVANA CLUB,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,750ML,ML ,415221,ANEJO RUM,HOUSE OF NICHE BRANDS,93144,5260930    ,PAR 3 & THE LODGE,1700 COYOTE POINT DR,,SAN MATEO,CA,25,ON ,0008048000691,5074,101079,0.250,55.17
MARTINI&ROSSI VERMOUTH BIANCO,BACARDI USA INC,WINE,VERMOUTH,MARTINI VERMOUTH BIANCO,VERMOUTH FORTIFIED IMPORTED,Wine & Wine Coolers,MARTINI VERMOUTH,BLEND-BOTANICALS,DNA--PIEDMONT,PIEDMONT,ITALY,0.00,BLEND-ITALY,WHITE,750ML,ML ,442539,NONE,HOUSE OF MARTINI,93144,5260930    ,PAR 3 & THE LODGE,1700 COYOTE POINT DR,,SAN MATEO,CA,25,ON ,0001103443005,4962,101079,1.000,43.44
MARTINI&ROSSI VERMOUTH ROSSO,BACARDI USA INC,WINE,VERMOUTH,MARTINI VERMOUTH ROSSO,VERMOUTH FORTIFIED IMPORTED,Wine & Wine Coolers,MARTINI VERMOUTH,BLEND-BOTANICALS,DNA--PIEDMONT,PIEDMONT,ITALY,0.00,BLEND-OTHER,RED,1.0L,LT ,442533,NONE,HOUSE OF MARTINI,93144,5260930    ,PAR 3 & THE LODGE,1700 COYOTE POINT DR,,SAN MATEO,CA,25,ON ,0001103441004,4964,101079,4.000,222.00
PATRON TEQ SILVER 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,328,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,93144,5260930    ,PAR 3 & THE LODGE,1700 COYOTE POINT DR,,SAN MATEO,CA,25,ON ,0072173300002,4160,101079,6.000,2786.40
PATRON TEQ SILVER 80 10/6PK,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,50ML,ML ,565987,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,93144,5260930    ,PAR 3 & THE LODGE,1700 COYOTE POINT DR,,SAN MATEO,CA,25,ON ,0072173350023,4160,101079,3.000,714.00
