item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
IWA 5 SAKE JUNMAI DAIGINJO ASSEM 3,ABCK CORP/MHW LTD,WINE,SAKE,IWA 5,OTHER IMPORTED WINES,Wine & Wine Coolers,IWA 5,,DNA--TOYAMA,CHUBU,JAPAN,0.00,,OTHER,720ML,ML ,573136,SAKE JAPAN,IWA 5,7769,1583225    ,FOUR SEASONS RESORT HUALALAI,72-100 KAUPULEHU DRIVE,,KAILUA KONA,HI,50,ON ,0457003709003,2101,106989,4.000,2821.00
LA FETE DU ROSE COTES PROV ROSE 22,B & H IMPORTERS/PARK STREET IM,WINE,BLUSH/ROSE WINE,LA FETE,FRENCH WINE,Wine & Wine Coolers,LA FETE DU ROSE,,COTES DE PROVENCE,PROVENCE,FRANCE,0.00,BLEND-PROVENCE,ROSE,750ML,ML ,588991,PROVENCE ROSE,LA FETE DU ROSE,7769,1583225    ,FOUR SEASONS RESORT HUALALAI,72-100 KAUPULEHU DRIVE,,KAILUA KONA,HI,50,ON ,0086000816090,1109,114329,4.000,844.00
HITACHINO NEST RED RICE ALE,B UNITED INTERNATIONAL INC,BEER,BEER(BOT/CAN),B UNITED INTERNATIONAL,BEER,Beer & Malt Coolers,HITACHINO NEST,,DNA--JAPAN,DNA--JAPAN,JAPAN,0.00,BLEND-GRAINS,AMBER,11.2Z,OZ ,237205,BEER IMPORTED,HITACHINO NEST,7769,1583225    ,FOUR SEASONS RESORT HUALALAI,72-100 KAUPULEHU DRIVE,,KAILUA KONA,HI,50,ON ,0493441800131,1834,103256,18.000,1991.00
HITACHINO NEST WHITE ALE,B UNITED INTERNATIONAL INC,BEER,BEER(BOT/CAN),B UNITED INTERNATIONAL,BEER,Beer & Malt Coolers,HITACHINO NEST,BLEND-BOTANICALS,DNA--JAPAN,DNA--JAPAN,JAPAN,0.00,WHEAT,GOLDEN,11.2Z,OZ ,165578,BEER IMPORTED,HITACHINO NEST,7769,1583225    ,FOUR SEASONS RESORT HUALALAI,72-100 KAUPULEHU DRIVE,,KAILUA KONA,HI,50,ON ,0493441800162,1834,103256,38.000,4179.00
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY,WHISKEY STRGHT/IRISH,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,WHISKEY BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,7769,1583225    ,FOUR SEASONS RESORT HUALALAI,72-100 KAUPULEHU DRIVE,,KAILUA KONA,HI,50,ON ,0085004700300,371,101079,3.166,766.28
ANGELS ENVY RYE WSKY 100,BACARDI USA INC,SPIRITS,STRAIGHT RYE WHISKY,ANGELS ENVY,WHISKEY STRGHT/IRISH,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,100.00,RYE,TAWNY/BROWN,750ML,ML ,410753,WHISKEY BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,7769,1583225    ,FOUR SEASONS RESORT HUALALAI,72-100 KAUPULEHU DRIVE,,KAILUA KONA,HI,50,ON ,0085004700306,371,101079,3.000,1282.35
BACARDI RUM GOLD RSV OCHO 8YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI 8,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,1.0L,LT ,893641,RUM IMPORTED,HOUSE OF BACARDI,7769,1583225    ,FOUR SEASONS RESORT HUALALAI,72-100 KAUPULEHU DRIVE,,KAILUA KONA,HI,50,ON ,0008048050530,241,101079,46.333,6558.00
BACARDI RUM SUPERIOR WHITE 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI SPR/G/S/B/151,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,WHITE,750ML,ML ,28729,RUM IMPORTED,HOUSE OF BACARDI,7769,1583225    ,FOUR SEASONS RESORT HUALALAI,72-100 KAUPULEHU DRIVE,,KAILUA KONA,HI,50,ON ,0008048001540,241,101079,10.000,1469.20
BACARDI RUM SUPERIOR WHITE 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI SPR/G/S/B/151,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,WHITE,1.75L,LT ,28727,RUM IMPORTED,HOUSE OF BACARDI,7769,1583225    ,FOUR SEASONS RESORT HUALALAI,72-100 KAUPULEHU DRIVE,,KAILUA KONA,HI,50,ON ,0008048001520,241,101079,4.000,475.44
BACARDI RUM SUPERIOR WHITE 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,BACARDI SPR/G/S/B/151,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,WHITE,1.0L,LT ,28728,RUM IMPORTED,HOUSE OF BACARDI,7769,1583225    ,FOUR SEASONS RESORT HUALALAI,72-100 KAUPULEHU DRIVE,,KAILUA KONA,HI,50,ON ,0008048001530,241,101079,251.666,36778.70
HAVANA CLUB RUM ANEJO CLASICO 80,BACARDI USA INC,SPIRITS,RUM,BACARDI RUM,RUM,Liquor Products,HAVANA CLUB,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,750ML,ML ,415221,RUM IMPORTED,HOUSE OF NICHE BRANDS,7769,1583225    ,FOUR SEASONS RESORT HUALALAI,72-100 KAUPULEHU DRIVE,,KAILUA KONA,HI,50,ON ,0008048000691,241,101079,15.833,2975.00
