item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
HITACHINO NEST WHITE ALE,B UNITED INTERNATIONAL INC,BEER,BEER(BOT/CAN),B UNITED INTERNATIONAL,BEER,Beer & Malt Coolers,HITACHINO NEST,BLEND-BOTANICALS,DNA--JAPAN,DNA--JAPAN,JAPAN,0.00,WHEAT,GOLDEN,11.2Z,OZ ,165578,BEER IMPORTED,HITACHINO NEST,5534,5220179    ,HAWAII AG & CULINARY ALLIANCE,62-100 MAUNA KEA BEACH DR,,WAIMEA,HI,50,ON ,0493441800162,1834,103256,0.000,0.00
D'USSE COGNAC VSOP 80,BACARDI USA INC,SPIRITS,BRANDY,D'USSE COGNAC,COGNAC,Liquor Products,DUSSE,,COGNAC,COGNAC,FRANCE,80.00,BLEND-COGNAC,TAWNY/BROWN,750ML,ML ,330138,BRANDY COGNAC,HOUSE OF BACARDI PRESTIGE BRANDS,5122,5220179    ,HAWAII AG & CULINARY ALLIANCE,62-100 MAUNA KEA BEACH DRIVE,,WAIMEA,HI,50,ON ,0008048000292,244,101079,0.000,0.00
DOM BENEDICTINE 80,BACARDI USA INC,SPIRITS,CORDIALS/LIQUORS,DOM BENEDICTINE,CORDIALS IMPORTED,Liquor Products,BB/BENEDICTINE,BLEND-BOTANICALS,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,BLEND-OTHER,TAWNY/BROWN,750ML,ML ,28789,CORDIALS & LIQUEURS IMPORTED,HOUSE OF BB AND BENEDICTINE,5534,5220179    ,HAWAII AG & CULINARY ALLIANCE,62-100 MAUNA KEA BEACH DR,,WAIMEA,HI,50,ON ,0008048055540,250,101079,0.000,0.00
ILEGAL MEZCAL JOVEN 80,BACARDI USA INC,SPIRITS,TEQUILA,ILEGAL MEZCAL,TEQUILA,Liquor Products,ILEGAL,,DNA--OAXACA,OAXACA,MEXICO,80.00,MAGUEY/MEZCAL,WHITE,1.0L,LT ,564443,TEQUILA,ILEGAL,5534,5220179    ,HAWAII AG & CULINARY ALLIANCE,62-100 MAUNA KEA BEACH DR,,WAIMEA,HI,50,ON ,0005149734660,686,101079,0.000,0.00
ST GERMAIN LIQUEUR 40,BACARDI USA INC,SPIRITS,CORDIALS/LIQUORS,ST GERMAIN,CORDIALS IMPORTED,Liquor Products,ST GERMAIN,ELDERFLOWER,DNA--FRANCE,DNA--FRANCE,FRANCE,40.00,,PURPLE,750ML,ML ,175921,CORDIALS & LIQUEURS IMPORTED,HOUSE OF BACARDI PRESTIGE BRANDS,5534,5220179    ,HAWAII AG & CULINARY ALLIANCE,62-100 MAUNA KEA BEACH DR,,WAIMEA,HI,50,ON ,0008048000469,253,101079,0.000,0.00
BIRICHINO PINOT NOIR ST GEORGES 21,BIRICHINO,WINE,RED WINE,BIRICHINO SELECTIONS,WINE DOMESTIC,Wine & Wine Coolers,BIRICHINO,,CENTRAL COAST,CALIFORNIA,UNITED STATES,0.00,PINOT NOIR,RED,750ML,ML ,562866,AMERICAN WINERIES,BIRICHINO,5534,5220179    ,HAWAII AG & CULINARY ALLIANCE,62-100 MAUNA KEA BEACH DR,,WAIMEA,HI,50,ON ,0089917500203,6327,105856,0.000,0.00
AVERNA AMARO 58,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,AVERNA,CORDIALS IMPORTED,Liquor Products,AMARO AVERNA,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,58.00,,TAWNY/BROWN,750ML,ML ,557370,APERITIFS & BITTERS,AMARO AVERNA,5534,5220179    ,HAWAII AG & CULINARY ALLIANCE,62-100 MAUNA KEA BEACH DR,,WAIMEA,HI,50,ON ,0800040020394,1319,100478,0.000,0.00
CAMPARI APERITIVO 48,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,CAMPARI,OTHER SPIRITS,Liquor Products,CAMPARI,BLEND-PROPRIETARY,DNA--LOMBARDY,LOMBARDY,ITALY,48.00,,RED,750ML,ML ,980582,APERITIFS & BITTERS,CAMPARI,5534,5220179    ,HAWAII AG & CULINARY ALLIANCE,62-100 MAUNA KEA BEACH DR,,WAIMEA,HI,50,ON ,0072105904750,3211,100478,0.000,0.00
CYNAR RICETTA ORIGINALE 33,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,CYNAR APERITIF,CORDIALS IMPORTED,Liquor Products,CYNAR,OTHER,DNA--MARCHES,MARCHES,ITALY,33.00,,TAWNY/BROWN,1.0L,LT ,557424,CORDIALS & LIQUEURS IMPORTED,CYNAR,5534,5220179    ,HAWAII AG & CULINARY ALLIANCE,62-100 MAUNA KEA BEACH DR,,WAIMEA,HI,50,ON ,0088734100001,1239,100478,0.000,0.00
BOOKER FRACTURE SYRAH 18MO 18,CONSTELLATION BRANDS,WINE,RED WINE,BOOKER,WINE DOMESTIC,Wine & Wine Coolers,BOOKER VINEYARD,,PASO ROBLES,CALIFORNIA,UNITED STATES,0.00,SYRAH,RED,750ML,ML ,511608,AMERICAN WINERIES,CBI ASPIRA LUXURY WINE,5534,5220179    ,HAWAII AG & CULINARY ALLIANCE,62-100 MAUNA KEA BEACH DR,,WAIMEA,HI,50,ON ,0086750600045,9992,100092,0.000,0.00
BOOKER OUBLIE RED 17,CONSTELLATION BRANDS,WINE,RED WINE,BOOKER,WINE DOMESTIC,Wine & Wine Coolers,BOOKER VINEYARD,,PASO ROBLES,CALIFORNIA,UNITED STATES,0.00,BLEND-OTHER,RED,750ML,ML ,988018,AMERICAN WINERIES,CBI ASPIRA LUXURY WINE,5534,5220179    ,HAWAII AG & CULINARY ALLIANCE,62-100 MAUNA KEA BEACH DR,,WAIMEA,HI,50,ON ,0086750600043,9992,100092,0.000,0.00
LINGUA FRANCA CHARDONNAY AVNI 22,CONSTELLATION BRANDS,WINE,WHITE WINE,LINGUA FRANCA SELECTIONS,WINE DOMESTIC,Wine & Wine Coolers,CBI LINGUA FRANCA,,WILLAMETTE VALLEY,OREGON,UNITED STATES,0.00,CHARDONNAY,WHITE,750ML,ML ,618605,AMERICAN WINERIES,CBI ASPIRA ICON WINE,5534,5220179    ,HAWAII AG & CULINARY ALLIANCE,62-100 MAUNA KEA BEACH DR,,WAIMEA,HI,50,ON ,0085267200870,81,100092,0.000,0.00
