item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY (NW),LIQUOR,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,BOURBON WHISKEY,HOUSE OF BACARDI PRESTIGE BRANDS,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0085004700300,1238,101079,18.000,4348.08
BACARDI RUM SUPERIOR WHITE 80,BACARDI USA INC,SPIRITS,RUM,BACARDI FLAVORS,LIQUOR,Liquor Products,BACARDI SPR/G/S/B/151,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,WHITE,1.0L,LT ,28728,RUM,HOUSE OF BACARDI,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0008048001530,300,101079,0.583,149.53
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY SAPPHIRE GIN,LIQUOR,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,1.0L,LT ,11291,GINS/FLAVORED GINS,HOUSE OF BOMBAY,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0008048030101,1300,101079,0.748,303.11
D'USSE COGNAC XO 80 GB,BACARDI USA INC,SPIRITS,BRANDY,D'USSE COGNAC,LIQUOR,Liquor Products,DUSSE,,DNA--COGNAC,COGNAC,FRANCE,80.00,BLEND-COGNAC,TAWNY/BROWN,750ML,ML ,360312,SEASONAL-GIFT/CK AVAILABILITY,HOUSE OF BACARDI PRESTIGE BRANDS,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0008048000294,382,101079,0.333,284.38
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE,LIQUOR,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKAS/FLAVORED VODKAS,HOUSE OF GREY GOOSE,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0008048028001,500,101079,2.332,552.68
PATRON TEQ REPOSADO 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER/ANEJO/REPO/COMBO,LIQUOR,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,43177,TEQUILA,PATRON SPIRITS COMPANY,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0072173300015,317,101079,0.166,97.18
PATRON TEQUILA SILVER 80 BAR,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER/ANEJO/REPO/COMBO,LIQUOR,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,118695,TEQUILA,PATRON SPIRITS COMPANY,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0072173300002,317,101079,0.832,446.50
ST GERMAIN LIQUEUR 40,BACARDI USA INC,SPIRITS,CORDIALS/LIQUORS,ST GERMAIN,LIQUOR,Liquor Products,ST GERMAIN,ELDERFLOWER,DNA--FRANCE,DNA--FRANCE,FRANCE,40.00,,PURPLE,750ML,ML ,175921,SPECIALTIES,HOUSE OF BACARDI PRESTIGE BRANDS,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0008048000469,9827,101079,1.000,172.76
APEROL APERITIVO 22,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,APEROL APERTIVO,LIQUOR,Liquor Products,APEROL,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,22.00,,ORANGE,750ML,ML ,557366,APERITIF,APEROL,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0072105900131,9200,100478,1.499,269.11
AVERNA AMARO 58,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,AVERNA,LIQUOR,Liquor Products,AMARO AVERNA,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,58.00,,TAWNY/BROWN,1.0L,LT ,557371,SPECIALTIES,AMARO AVERNA,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0800040020379,184,100478,1.000,206.34
CINZANO 1757 VERMOUTH EXTRA DRY,CAMPARI AMERICA,WINE,VERMOUTH,CINZANO,"SMALL WINE UNDER 1,500,000 LTR",Wine & Wine Coolers,CINZANO 1757,BLEND-BOTANICALS,VERMOUTH DI TORINO,PIEDMONT,ITALY,0.00,BLEND-ITALY,WHITE,1.0L,LT ,939538,VERMOUTH,1757 VERMOUTH DI TORINO,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0088734117574,2854,100478,1.000,143.95
COURVOISIER COG VS 80,CAMPARI AMERICA,SPIRITS,BRANDY,COURVOISIER VS,LIQUOR,Liquor Products,COURVOISIER VS,,COGNAC,COGNAC,FRANCE,80.00,BLEND-COGNAC,TAWNY/BROWN,1.0L,LT ,407349,BRANDY/COGNAC/ARMAGNAC,COURVOISIER,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0008068696103,5950,100478,0.415,212.75
COURVOISIER COG VSOP 80,CAMPARI AMERICA,SPIRITS,BRANDY,COURVOISIER VS,LIQUOR,Liquor Products,COURVOISIER VSOP,,COGNAC,COGNAC,FRANCE,80.00,BLEND-COGNAC,TAWNY/BROWN,1.0L,LT ,406997,BRANDY/COGNAC/ARMAGNAC,COURVOISIER,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0008068696203,5950,100478,0.415,298.26
COURVOISIER COG XO 80,CAMPARI AMERICA,SPIRITS,BRANDY,COURVOISIER VS,LIQUOR,Liquor Products,COURVOISIER XO,,COGNAC,COGNAC,FRANCE,80.00,BLEND-COGNAC,TAWNY/BROWN,750ML,ML ,407346,BRANDY/COGNAC/ARMAGNAC,COURVOISIER,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0008068696502,5950,100478,0.333,264.38
CYNAR ARTICHOKE APERITIF LIQ 70,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,CYNAR,LIQUOR,Liquor Products,CYNAR,OTHER,DNA--MARCHES,MARCHES,ITALY,70.00,,TAWNY/BROWN,1.0L,LT ,396636,SPECIALTIES,CYNAR,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0072105900213,2058,100478,0.333,73.98
CYNAR RICETTA ORIGINALE 33,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,CYNAR,LIQUOR,Liquor Products,CYNAR,OTHER,DNA--MARCHES,MARCHES,ITALY,33.00,,TAWNY/BROWN,1.0L,LT ,557424,SPECIALTIES,CYNAR,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0088734100001,2058,100478,0.083,27.99
GRAND MARNIER 80,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,GRAND MARNIER (NEW),LIQUOR,Liquor Products,GRAND MARNIER LESS CUVEES,ORANGE,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,BLEND-COGNAC,TAWNY/BROWN,1.0L,LT ,991348,CORDIALS/SCHNAPPS,GRAND MARNIER,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0064918890048,1369,100478,1.000,233.94
ALMA FINCA ORANGE LIQUEUR 80,CASA LUMBRE/MHW LTD,SPIRITS,CORDIALS/LIQUORS,FINCA,LIQUOR,Liquor Products,ALMA FINCA,ORANGE,DNA--YUCATAN,YUCATAN,MEXICO,80.00,ORANGE,GOLDEN,700ML,ML ,609562,,CASA LUMBRE FOCUS,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0750303996509,2635,113860,2.000,281.16
GOSLINGS RUM BLACK SEAL 80,CASTLE BRANDS USA CORP,SPIRITS,RUM,GOSLINGS RUM,LIQUOR,Liquor Products,GOSLINGS,,DNA--BERMUDA,DNA--BERMUDA,BERMUDA,80.00,,TAWNY/BROWN,1.0L,LT ,20013,RUM,GOSLINGS,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0008427991113,228,104841,0.166,40.38
RAMAZZOTTI APERITIVO ROSATO 30,CASTLE BRANDS USA CORP,SPIRITS,CORDIALS/LIQUORS,RAMAZZOTTI,LIQUOR,Liquor Products,RAMAZZOTTI,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,30.00,,PINK,750ML,ML ,948671,SPECIALTIES,RAMAZZOTTI,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0073994960003,3372,104841,1.666,169.10
MICHTERS WSKY RYE SGL BRL US1 84.8,CHATHAM IMPORTS INC,SPIRITS,STRAIGHT RYE WHISKY,MICHTER'S,LIQUOR,Liquor Products,MICHTER'S,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,84.80,RYE,TAWNY/BROWN,750ML,ML ,413668,BOURBON WHISKEY,MICHTER'S,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0003938300650,872,100115,0.000,0.00
CHOPIN VOD POTATO BLACK 80,CHOPIN IMPORTS/MHW LTD,SPIRITS,VODKA,CHOPIN VODKA,LIQUOR,Liquor Products,CHOPIN,,DNA--POLAND,DNA--POLAND,POLAND,80.00,,WHITE,1.0L,LT ,482230,VODKAS/FLAVORED VODKAS,CHOPIN,990031,1617221    ,SANDIA CASINO/BIEN SHUR REST,30 RAINBOW RD NE,,ALBUQUERQUE,NM,80,ON ,0085293500116,1712,105638,3.000,548.22
