item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
LEJAY CREME DE CASSIS 34,ABCK CORP/MHW LTD,SPIRITS,CORDIALS/LIQUORS,LEJAY CREME DE CASSIS,CORDIALS IMPORTED,Liquor Products,LEJAY,BLACK CURRANT,CASSIS DE DIJON,BURGUNDY,FRANCE,34.00,,RED,700ML,ML ,541914,FLAVORED CORDIAL IMPORTED,LEJAY,61277,5217590    ,RITZ CARLTON HOTEL,1 RITZ CARLTON DR,,DANA POINT,CA,20,ON ,0310469000168,4759,106989,3.163,591.00
DAILYS RTD PINA COLADA POUCH LSE,AMERICAN BEVERAGE CORP(DAILYS),WINE,SPECIALTY WINES,DAILY'S RTD,PREPARED COCKTAILS,Wine & Wine Coolers,DAILY'S,PINEAPPLE & COCONUT,DNA--UNITED STATES,DNA--UNITED STATES,UNITED STATES,0.00,BLEND-GENERIC,WHITE,10 Z,OZ ,485582,PREPARED COCKTAILS WINE BASE,DAILY'S,61277,5217590    ,RITZ CARLTON HOTEL,1 RITZ CARLTON DR,,DANA POINT,CA,20,ON ,0007480618440,40853,100153,0.000,0.00
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY BOURBON,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,61277,5217590    ,RITZ CARLTON HOTEL,1 RITZ CARLTON DR,,DANA POINT,CA,20,ON ,0085004700300,4891,101079,113.999,24570.40
BACARDI RUM GOLD RSV OCHO 8YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI 8,RUM DOMESTIC,Liquor Products,BACARDI 8,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,1.0L,LT ,893641,DARK RUM DOMESTIC,HOUSE OF BACARDI,61277,5217590    ,RITZ CARLTON HOTEL,1 RITZ CARLTON DR,,DANA POINT,CA,20,ON ,0008048050530,4791,101079,2.664,458.24
BACARDI RUM GRAN RSV DIEZ 80,BACARDI USA INC,SPIRITS,RUM,BACARDI ANEJO,RUM IMPORTED,Liquor Products,BACARDI DIEZ,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,750ML,ML ,899308,ANEJO RUM,HOUSE OF BACARDI,61277,5217590    ,RITZ CARLTON HOTEL,1 RITZ CARLTON DR,,DANA POINT,CA,20,ON ,0008048098340,4792,101079,0.499,96.20
BOMBAY DRY GIN 86,BACARDI USA INC,SPIRITS,GIN,BOMBAY ORIGINAL,GIN IMPORTED,Liquor Products,BOMBAY ORIGINAL,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,86.00,BLEND-GRAINS,WHITE,750ML,ML ,11287,NONE,HOUSE OF BOMBAY,61277,5217590    ,RITZ CARLTON HOTEL,1 RITZ CARLTON DR,,DANA POINT,CA,20,ON ,0008144010331,3987,101079,0.083,21.09
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY SAPPHIRE,GIN IMPORTED,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,750ML,ML ,11292,NONE,HOUSE OF BOMBAY,61277,5217590    ,RITZ CARLTON HOTEL,1 RITZ CARLTON DR,,DANA POINT,CA,20,ON ,0008048030102,3988,101079,0.500,136.38
GREY GOOSE VOD L'ORANGE 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE L'ORANGE,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,ORANGE,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,77032,FLAVORED VODKA IMPORTED,HOUSE OF GREY GOOSE,61277,5217590    ,RITZ CARLTON HOTEL,1 RITZ CARLTON DR,,DANA POINT,CA,20,ON ,0008308956010,1266,101079,26.000,4544.28
GREY GOOSE VOD LE CITRON 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE LE CITRON,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,CITRUS,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,750ML,ML ,89689,FLAVORED VODKA IMPORTED,HOUSE OF GREY GOOSE,61277,5217590    ,RITZ CARLTON HOTEL,1 RITZ CARLTON DR,,DANA POINT,CA,20,ON ,0008048028204,1267,101079,2.000,316.00
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,61277,5217590    ,RITZ CARLTON HOTEL,1 RITZ CARLTON DR,,DANA POINT,CA,20,ON ,0008048028001,1265,101079,382.999,62012.28
LEBLON CACHACA 80,BACARDI USA INC,SPIRITS,RUM,LEBLON CACHACA,RUM IMPORTED,Liquor Products,CACHACA RUM,,DNA--BRAZIL,DNA--BRAZIL,BRAZIL,80.00,,WHITE,1.0L,LT ,484344,CACHACA,HOUSE OF NICHE BRANDS,61277,5217590    ,RITZ CARLTON HOTEL,1 RITZ CARLTON DR,,DANA POINT,CA,20,ON ,0008048000726,3478,101079,4.494,878.58
