item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,11352,1605450    ,BARONA'S CASINO,1932 WILDCAT CANYON RD,,LAKESIDE,CA,20,ON ,0008048028001,1265,101079,14.000,2670.48
GREY GOOSE VODKA 80 8/12PK,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,50ML,ML ,938544,VODKA IMPORTED,HOUSE OF GREY GOOSE,11352,1605450    ,BARONA'S CASINO,1932 WILDCAT CANYON RD,,LAKESIDE,CA,20,ON ,0008048028005,1265,101079,3.000,798.56
GREY GOOSE VODKA 80 ALUM BTL 12PK,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,50ML,ML ,621954,VODKA IMPORTED,HOUSE OF GREY GOOSE,11352,1605450    ,BARONA'S CASINO,1932 WILDCAT CANYON RD,,LAKESIDE,CA,20,ON ,0008048098940,1265,101079,1.000,324.00
MARTINI&ROSSI VERMOUTH EXTRA DRY,BACARDI USA INC,WINE,VERMOUTH,MARTINI VERMOUTH XDRY,VERMOUTH FORTIFIED IMPORTED,Wine & Wine Coolers,MARTINI VERMOUTH,BLEND-BOTANICALS,DNA--PIEDMONT,PIEDMONT,ITALY,0.00,BLEND-OTHER,WHITE,1.0L,LT ,442542,NONE,HOUSE OF MARTINI,11352,1605450    ,BARONA'S CASINO,1932 WILDCAT CANYON RD,,LAKESIDE,CA,20,ON ,0001103442004,4965,101079,1.000,55.50
PATRON TEQ SILVER 80 10/6PK,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,50ML,ML ,565987,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,11352,1605450    ,BARONA'S CASINO,1932 WILDCAT CANYON RD,,LAKESIDE,CA,20,ON ,0072173350023,4160,101079,7.000,1750.00
PATRON TEQUILA SILVER 80 BAR,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,118695,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,11352,1605450    ,BARONA'S CASINO,1932 WILDCAT CANYON RD,,LAKESIDE,CA,20,ON ,0072173300002,4160,101079,3.000,1384.20
CK MONDAVI CHARD,C MONDAVI & FAMILY,WINE,WHITE WINE,CK MONDAVI VARIETALS 750ML,CA - CALIFORNIA,Wine & Wine Coolers,CK MONDAVI,,DNA--CALIFORNIA,CALIFORNIA,UNITED STATES,0.00,CHARDONNAY,WHITE,750ML,ML ,64126,CALIFORNIA,CMF CORE,11352,1605450    ,BARONA'S CASINO,1932 WILDCAT CANYON RD,,LAKESIDE,CA,20,ON ,0008601240073,41416,100085,18.000,853.20
CK MONDAVI MERLOT(SC),C MONDAVI & FAMILY,WINE,RED WINE,CK MONDAVI VARIETALS 750ML,CA - CALIFORNIA,Wine & Wine Coolers,CK MONDAVI,,DNA--CALIFORNIA,CALIFORNIA,UNITED STATES,0.00,MERLOT,RED,750ML,ML ,479864,CALIFORNIA,CMF CORE,11352,1605450    ,BARONA'S CASINO,1932 WILDCAT CANYON RD,,LAKESIDE,CA,20,ON ,0008601250083,41416,100085,33.000,1564.20
APEROL APERITIVO 22,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,APEROL,CORDIALS IMPORTED,Liquor Products,APEROL,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,22.00,,ORANGE,1.0L,LT ,557367,FLAVORED CORDIAL IMPORTED,APEROL,11352,1605450    ,BARONA'S CASINO,1932 WILDCAT CANYON RD,,LAKESIDE,CA,20,ON ,0072105900238,3208,100478,2.333,418.04
CINZANO VERMOUTH ROSSO(SWEET),CAMPARI AMERICA,WINE,VERMOUTH,CINZANO VERMOUTH,VERMOUTH FORTIFIED IMPORTED,Wine & Wine Coolers,CINZANO VERMOUTH,BLEND-BOTANICALS,DNA--PIEDMONT,PIEDMONT,ITALY,0.00,BLEND-OTHER,RED,1.0L,LT ,58243,NONE,CINZANO VERMOUTH,11352,1605450    ,BARONA'S CASINO,1932 WILDCAT CANYON RD,,LAKESIDE,CA,20,ON ,0008678590017,41362,100478,0.333,46.56
