item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY BOURBON,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,44548,5219286    ,LAFAYETTE PARK HOTEL,3287 MT DIABLO BLVD,,LAFAYETTE,CA,25,ON ,0085004700300,4891,101079,1.328,314.58
BANKS RUM ISLAND BLEND 5 86,BACARDI USA INC,SPIRITS,RUM,BANKS,RUM IMPORTED,Liquor Products,BANKS,,DNA--WEST INDIES,DNA--WEST INDIES,WEST INDIES,86.00,,WHITE,750ML,ML ,914446,LIGHT RUM IMPORTED,HOUSE OF BACARDI PRESTIGE BRANDS,44548,5219286    ,LAFAYETTE PARK HOTEL,3287 MT DIABLO BLVD,,LAFAYETTE,CA,25,ON ,0008048000707,5032,101079,0.332,48.58
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY SAPPHIRE,GIN IMPORTED,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,750ML,ML ,11292,NONE,HOUSE OF BOMBAY,44548,5219286    ,LAFAYETTE PARK HOTEL,3287 MT DIABLO BLVD,,LAFAYETTE,CA,25,ON ,0008048030102,3988,101079,7.000,1716.16
CAZADORES TEQ EXTRA ANEJO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES EXTRA ANEJO,TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,564763,,HOUSE OF CAZADORES,44548,5219286    ,LAFAYETTE PARK HOTEL,3287 MT DIABLO BLVD,,LAFAYETTE,CA,25,ON ,0008048000125,4946,101079,0.166,48.45
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,44548,5219286    ,LAFAYETTE PARK HOTEL,3287 MT DIABLO BLVD,,LAFAYETTE,CA,25,ON ,0008048028001,1265,101079,59.000,10751.28
PATRON TEQ SILVER 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,328,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,44548,5219286    ,LAFAYETTE PARK HOTEL,3287 MT DIABLO BLVD,,LAFAYETTE,CA,25,ON ,0072173300002,4160,101079,0.249,125.10
PATRON TEQUILA SILVER 80 BAR,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,118695,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,44548,5219286    ,LAFAYETTE PARK HOTEL,3287 MT DIABLO BLVD,,LAFAYETTE,CA,25,ON ,0072173300002,4160,101079,2.324,1172.20
ST GERMAIN LIQUEUR 40,BACARDI USA INC,SPIRITS,CORDIALS/LIQUORS,ST GERMAIN,CORDIALS IMPORTED,Liquor Products,ST GERMAIN,ELDERFLOWER,DNA--FRANCE,DNA--FRANCE,FRANCE,40.00,,WHITE,375ML,ML ,412362,FLAVORED CORDIAL IMPORTED,HOUSE OF BACARDI PRESTIGE BRANDS,44548,5219286    ,LAFAYETTE PARK HOTEL,3287 MT DIABLO BLVD,,LAFAYETTE,CA,25,ON ,0008048000666,4009,101079,0.499,103.14
APEROL APERITIVO 22,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,APEROL,CORDIALS IMPORTED,Liquor Products,APEROL,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,22.00,,ORANGE,1.0L,LT ,557367,FLAVORED CORDIAL IMPORTED,APEROL,44548,5219286    ,LAFAYETTE PARK HOTEL,3287 MT DIABLO BLVD,,LAFAYETTE,CA,25,ON ,0072105900238,3208,100478,11.832,2086.97
CAMPARI APERITIVO 48,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,CAMPARI,APERITIF / BITTERS IMPORTED,Liquor Products,CAMPARI,BLEND-PROPRIETARY,DNA--ITALY,DNA--ITALY,ITALY,48.00,,WHITE,1.0L,LT ,606739,NONE,CAMPARI,44548,5219286    ,LAFAYETTE PARK HOTEL,3287 MT DIABLO BLVD,,LAFAYETTE,CA,25,ON ,0072105904100,1360,100478,5.162,1014.66
