item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY BOURBON,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,103301,7852963    ,OCEANSIDE BEACH RESORTS,101 MISSION AVE,,OCEANSIDE,CA,20,ON ,0085004700300,4891,101079,29.000,6234.00
BACARDI RUM GOLD RSV OCHO 8YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI 8,RUM DOMESTIC,Liquor Products,BACARDI 8,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,750ML,ML ,893644,DARK RUM DOMESTIC,HOUSE OF BACARDI,103301,7852963    ,OCEANSIDE BEACH RESORTS,101 MISSION AVE,,OCEANSIDE,CA,20,ON ,0008048050540,4791,101079,4.000,1004.80
BACARDI RUM GOLD RSV OCHO 8YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI 8,RUM DOMESTIC,Liquor Products,BACARDI 8,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,1.0L,LT ,893641,DARK RUM DOMESTIC,HOUSE OF BACARDI,103301,7852963    ,OCEANSIDE BEACH RESORTS,101 MISSION AVE,,OCEANSIDE,CA,20,ON ,0008048050530,4791,101079,50.166,8170.52
BACARDI RUM ANEJO CUATRO 4YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI ANEJO,RUM IMPORTED,Liquor Products,BACARDI CUATRO,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,1.0L,LT ,899136,ANEJO RUM,HOUSE OF BACARDI,103301,7852963    ,OCEANSIDE BEACH RESORTS,101 MISSION AVE,,OCEANSIDE,CA,20,ON ,0008048098339,4792,101079,30.166,3188.25
BANKS RUM ISLAND BLEND 5 86,BACARDI USA INC,SPIRITS,RUM,BANKS,RUM IMPORTED,Liquor Products,BANKS,,DNA--WEST INDIES,DNA--WEST INDIES,WEST INDIES,86.00,,WHITE,750ML,ML ,914446,LIGHT RUM IMPORTED,HOUSE OF BACARDI PRESTIGE BRANDS,103301,7852963    ,OCEANSIDE BEACH RESORTS,101 MISSION AVE,,OCEANSIDE,CA,20,ON ,0008048000707,5032,101079,0.665,99.16
CAZADORES TEQ ANEJO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES ANEJO,TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,1.0L,LT ,535802,,HOUSE OF CAZADORES,103301,7852963    ,OCEANSIDE BEACH RESORTS,101 MISSION AVE,,OCEANSIDE,CA,20,ON ,0008048017251,4832,101079,14.834,3401.10
CAZADORES TEQ BLANCO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES BLANCO,TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,535798,,HOUSE OF CAZADORES,103301,7852963    ,OCEANSIDE BEACH RESORTS,101 MISSION AVE,,OCEANSIDE,CA,20,ON ,0008048017202,4833,101079,1.000,235.08
CAZADORES TEQ REPOSADO 80,BACARDI USA INC,SPIRITS,TEQUILA,CAZADORES REPOSADO,TEQUILA,Liquor Products,HOUSE OF CAZADORES,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,1.0L,LT ,535796,,HOUSE OF CAZADORES,103301,7852963    ,OCEANSIDE BEACH RESORTS,101 MISSION AVE,,OCEANSIDE,CA,20,ON ,0008048017010,4834,101079,17.500,6838.60
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,103301,7852963    ,OCEANSIDE BEACH RESORTS,101 MISSION AVE,,OCEANSIDE,CA,20,ON ,0008048028001,1265,101079,128.333,24123.76
ILEGAL MEZCAL JOVEN 80,BACARDI USA INC,SPIRITS,TEQUILA,ILEGAL,MEZCAL,Liquor Products,ILEGAL,,DNA--OAXACA,OAXACA,MEXICO,80.00,MAGUEY/MEZCAL,WHITE,750ML,ML ,990142,SILVER / PLATA MEZCAL,ILEGAL,103301,7852963    ,OCEANSIDE BEACH RESORTS,101 MISSION AVE,,OCEANSIDE,CA,20,ON ,0008974475735,773,101079,16.000,2856.00
