item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0008048028001,1265,101079,25.000,4776.00
MARTINI&ROSSI VERMOUTH ROSSO,BACARDI USA INC,WINE,VERMOUTH,MARTINI VERMOUTH ROSSO,VERMOUTH FORTIFIED IMPORTED,Wine & Wine Coolers,MARTINI VERMOUTH,BLEND-BOTANICALS,DNA--PIEDMONT,PIEDMONT,ITALY,0.00,BLEND-OTHER,RED,750ML,ML ,442536,NONE,HOUSE OF MARTINI,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0001103441005,4964,101079,3.000,145.62
MARTINI&ROSSI VERMOUTH EXTRA DRY,BACARDI USA INC,WINE,VERMOUTH,MARTINI VERMOUTH XDRY,VERMOUTH FORTIFIED IMPORTED,Wine & Wine Coolers,MARTINI VERMOUTH,BLEND-BOTANICALS,DNA--PIEDMONT,PIEDMONT,ITALY,0.00,BLEND-OTHER,WHITE,750ML,ML ,442540,NONE,HOUSE OF MARTINI,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0001103442005,4965,101079,2.000,93.78
PATRON TEQ REPOSADO 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON REPO,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,43177,REPOSADO TEQUILA,PATRON SPIRITS COMPANY,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0072173300015,4159,101079,0.083,37.65
PATRON TEQ SILVER 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,328,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0072173300002,4160,101079,1.000,461.40
PATRON TEQUILA SILVER 80 BAR,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,118695,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0072173300002,4160,101079,29.000,13344.60
STONE CELLARS WHITE ZINF(SC),BRONCO WINE CO,WINE,BLUSH/ROSE WINE,STONE CELLARS,CA - CALIFORNIA,Wine & Wine Coolers,STONE CELLARS,,DNA--CALIFORNIA,CALIFORNIA,UNITED STATES,0.00,ZINFANDEL,PINK,750ML,ML ,449641,CALIFORNIA,STONE CELLARS,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0008105499457,40087,100081,5.000,270.00
CK MONDAVI CHARD,C MONDAVI & FAMILY,WINE,WHITE WINE,CK MONDAVI VARIETALS 750ML,CA - CALIFORNIA,Wine & Wine Coolers,CK MONDAVI,,DNA--CALIFORNIA,CALIFORNIA,UNITED STATES,0.00,CHARDONNAY,WHITE,750ML,ML ,64126,CALIFORNIA,CMF CORE,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0008601240073,41416,100085,82.000,3886.80
CK MONDAVI MERLOT(SC),C MONDAVI & FAMILY,WINE,RED WINE,CK MONDAVI VARIETALS 750ML,CA - CALIFORNIA,Wine & Wine Coolers,CK MONDAVI,,DNA--CALIFORNIA,CALIFORNIA,UNITED STATES,0.00,MERLOT,RED,750ML,ML ,479864,CALIFORNIA,CMF CORE,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0008601250083,41416,100085,20.000,948.00
CK MONDAVI PINOT GRIGIO(SC),C MONDAVI & FAMILY,WINE,WHITE WINE,CK MONDAVI VARIETALS 750ML,CA - CALIFORNIA,Wine & Wine Coolers,CK MONDAVI,,DNA--CALIFORNIA,CALIFORNIA,UNITED STATES,0.00,PINOT GRIGIO,WHITE,750ML,ML ,479857,CALIFORNIA,CMF CORE,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0008601240083,41416,100085,41.000,1943.40
APEROL APERITIVO 22,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,APEROL,CORDIALS IMPORTED,Liquor Products,APEROL,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,22.00,,ORANGE,1.0L,LT ,557367,FLAVORED CORDIAL IMPORTED,APEROL,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0072105900238,3208,100478,3.000,521.37
CAMPARI APERITIVO 48,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,CAMPARI,APERITIF / BITTERS IMPORTED,Liquor Products,CAMPARI,BLEND-PROPRIETARY,DNA--LOMBARDY,LOMBARDY,ITALY,48.00,,RED,1.0L,LT ,980581,NONE,CAMPARI,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0002105904100,1360,100478,1.000,369.00
CINZANO VERMOUTH DRY,CAMPARI AMERICA,WINE,VERMOUTH,CINZANO VERMOUTH,VERMOUTH FORTIFIED IMPORTED,Wine & Wine Coolers,CINZANO VERMOUTH,BLEND-BOTANICALS,DNA--PIEDMONT,PIEDMONT,ITALY,0.00,BLEND-OTHER,WHITE,750ML,ML ,58240,NONE,CINZANO VERMOUTH,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0008678590002,41362,100478,0.166,19.80
FRANGELICO LIQ 40,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,FRANGELICO LIQUEUR,CORDIALS IMPORTED,Liquor Products,FRANGELICO LIQUEUR,HAZELNUT,DNA--ITALY,DNA--ITALY,ITALY,40.00,,WHITE,1.0L,LT ,311648,FLAVORED CORDIAL IMPORTED,FRANGELICO LIQUEUR,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0072105998100,1022,100478,1.166,487.85
GRAND MARNIER 80,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,GRAND MARNIER LESS CUVEES,CORDIALS IMPORTED,Liquor Products,GRAND MARNIER LESS CUVEES,ORANGE,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,BLEND-COGNAC,TAWNY/BROWN,1.0L,LT ,991348,FLAVORED CORDIAL IMPORTED,GRAND MARNIER,50459,7319559    ,WEDGEWOOD WEDDING & BNQT CNTR,901 STERLING HILLS DR,,CAMARILLO,CA,20,ON ,0064918890048,167,100478,3.333,753.87
