item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY BOURBON,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0085004700300,4891,101079,6.166,1361.58
ANGELS ENVY RYE WSKY 100,BACARDI USA INC,SPIRITS,STRAIGHT RYE WHISKY,ANGELS ENVY RYE,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,100.00,RYE,TAWNY/BROWN,750ML,ML ,410753,RYE WHISKEY,HOUSE OF BACARDI PRESTIGE BRANDS,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0085004700306,5205,101079,2.333,910.00
BANKS RUM GOLDEN AGE 7 86,BACARDI USA INC,SPIRITS,RUM,BANKS,RUM IMPORTED,Liquor Products,BANKS,,DNA--WEST INDIES,DNA--WEST INDIES,WEST INDIES,86.00,,TAWNY/BROWN,750ML,ML ,917540,GOLD RUM,HOUSE OF BACARDI PRESTIGE BRANDS,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0008048000708,5032,101079,2.166,313.47
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY SAPPHIRE,GIN IMPORTED,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,750ML,ML ,11292,NONE,HOUSE OF BOMBAY,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0008048030102,3988,101079,0.666,178.24
CORZO TEQUILA SILVER 80,BACARDI USA INC,SPIRITS,TEQUILA,CORZO SILVER,TEQUILA,Liquor Products,HOUSE OF CORZO,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,92782,,HOUSE OF BACARDI PRESTIGE BRANDS,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0008048017151,4948,101079,0.332,80.02
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0008048028001,1265,101079,29.999,5361.72
LEBLON CACHACA 80,BACARDI USA INC,SPIRITS,RUM,LEBLON CACHACA,RUM IMPORTED,Liquor Products,CACHACA RUM,,DNA--BRAZIL,DNA--BRAZIL,BRAZIL,80.00,,WHITE,1.0L,LT ,484344,CACHACA,HOUSE OF NICHE BRANDS,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0008048000726,3478,101079,0.333,64.00
ST GERMAIN LIQUEUR 40,BACARDI USA INC,SPIRITS,CORDIALS/LIQUORS,ST GERMAIN,CORDIALS IMPORTED,Liquor Products,ST GERMAIN,ELDERFLOWER,DNA--FRANCE,DNA--FRANCE,FRANCE,40.00,,WHITE,375ML,ML ,412362,FLAVORED CORDIAL IMPORTED,HOUSE OF BACARDI PRESTIGE BRANDS,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0008048000666,4009,101079,1.000,193.08
AVERNA AMARO 58,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,AMARO AVERNA,APERITIF / BITTERS IMPORTED,Liquor Products,AMARO AVERNA,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,58.00,,TAWNY/BROWN,1.0L,LT ,557371,NONE,AMARO AVERNA,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0800040020379,42949,100478,10.163,1939.60
AVERNA AMARO 58,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,AMARO AVERNA,APERITIF / BITTERS IMPORTED,Liquor Products,AMARO AVERNA,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,58.00,,TAWNY/BROWN,750ML,ML ,557370,NONE,AMARO AVERNA,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0800040020394,42949,100478,5.166,717.40
APEROL APERITIVO 22,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,APEROL,CORDIALS IMPORTED,Liquor Products,APEROL,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,22.00,,ORANGE,1.0L,LT ,557367,FLAVORED CORDIAL IMPORTED,APEROL,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0072105900238,3208,100478,80.000,13262.34
APEROL APERITIVO 22,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,APEROL,APERITIF / BITTERS IMPORTED,Liquor Products,APEROL,BLEND-PROPRIETARY,DNA--MARCHES,MARCHES,ITALY,22.00,,ORANGE,750ML,ML ,557366,NONE,APEROL,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0072105900131,3208,100478,1.000,140.67
CAMPARI APERITIVO 48,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,CAMPARI,APERITIF / BITTERS IMPORTED,Liquor Products,CAMPARI,BLEND-PROPRIETARY,DNA--LOMBARDY,LOMBARDY,ITALY,48.00,,RED,1.0L,LT ,980581,NONE,CAMPARI,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0002105904100,1360,100478,3.246,1270.11
CAMPARI APERITIVO 48,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,CAMPARI,APERITIF / BITTERS IMPORTED,Liquor Products,CAMPARI,BLEND-PROPRIETARY,DNA--ITALY,DNA--ITALY,ITALY,48.00,,WHITE,1.0L,LT ,606739,NONE,CAMPARI,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0072105904100,1360,100478,6.665,1268.35
ESPOLON TEQ BLANCO 80,CAMPARI AMERICA,SPIRITS,TEQUILA,ESPOLON,TEQUILA,Liquor Products,ESPOLON BLANCO,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,1.0L,LT ,314814,SILVER / PLATA TEQUILA,ESPOLON,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0072105970100,752,100478,5.000,668.75
ESPOLON TEQ REPOSADO 80,CAMPARI AMERICA,SPIRITS,TEQUILA,ESPOLON,TEQUILA,Liquor Products,ESPOLON REPOSADO,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,1.0L,LT ,314808,REPOSADO TEQUILA,ESPOLON,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0072105970101,752,100478,0.166,30.49
GRAND MARNIER 80,CAMPARI AMERICA,SPIRITS,CORDIALS/LIQUORS,GRAND MARNIER LESS CUVEES,CORDIALS IMPORTED,Liquor Products,GRAND MARNIER LESS CUVEES,ORANGE,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,BLEND-COGNAC,TAWNY/BROWN,1.0L,LT ,991348,FLAVORED CORDIAL IMPORTED,GRAND MARNIER,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0064918890048,167,100478,1.164,282.84
RUSSELLS RSV BBN 10YR 90,CAMPARI AMERICA,SPIRITS,BOURBON,RUSSELL'S RESERVE,WHISKEY DOMESTIC,Liquor Products,RUSSELLS RSV 6YR & 10YR,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,90.00,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,323574,BOURBON,RUSSELL'S RESERVE,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0072105995750,1371,100478,11.000,2217.49
SKYY VODKA 80,CAMPARI AMERICA,SPIRITS,VODKA,SKYY CORE EX.1.75L,VODKA DOMESTIC,Liquor Products,SKYY CORE,,DNA--UNITED STATES,DNA--UNITED STATES,UNITED STATES,80.00,BLEND-GRAINS,WHITE,1.0L,LT ,992254,VODKA DOMESTIC,SKYY VODKA,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0072105901000,1357,100478,41.000,4698.00
SKYY VOD INF STRAWBERRY 70,CAMPARI AMERICA,SPIRITS,VODKA,SKYY INFUSIONS,VODKA DOMESTIC,Liquor Products,SKYY INFUSIONS,STRAWBERRY,DNA--UNITED STATES,DNA--UNITED STATES,UNITED STATES,70.00,BLEND-GRAINS,WHITE,1.0L,LT ,993063,FLAVORED VODKA DOMESTIC,SKYY INFUSIONS,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0072105900033,4172,100478,9.000,1070.00
WILD TURKEY BBN LONGBRANCH 86,CAMPARI AMERICA,SPIRITS,BOURBON,WILD TURKEY LONGBRANCH,WHISKEY DOMESTIC,Liquor Products,LONGBRANCH,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.00,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,557440,BOURBON,WT LONGBRANCH,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0072105900284,5935,100478,0.166,30.77
LUKSUSOWA VDK 80,DEUTSCH FAMILY WINE & SPIRITS,SPIRITS,VODKA,LUKSUSOWA,VODKA IMPORTED,Liquor Products,LUKSO,,DNA--POLAND,DNA--POLAND,POLAND,80.00,,WHITE,1.0L,LT ,36397,VODKA IMPORTED,DFWS INCUBATOR BRANDS,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0063032800038,1643,100564,4.000,504.00
BAILEYS IRISH CREAM 34,DIAGEO SPIRITS,SPIRITS,CORDIALS/LIQUORS,BAILEYS,CORDIALS IMPORTED,Liquor Products,BAILEYS ORIGINAL,CREAM,DNA--IRELAND,DNA--IRELAND,IRELAND,34.00,BLEND-GRAINS,OTHER,1.0L,LT ,332775,CREAMS IMPORTED,BAILEYS,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0008676721004,3517,100534,2.745,990.23
BAILEYS IRISH CREAM 34 4/20PK,DIAGEO SPIRITS,SPIRITS,CORDIALS/LIQUORS,BAILEYS,CORDIALS IMPORTED,Liquor Products,BAILEYS ORIGINAL,CREAM,DNA--IRELAND,DNA--IRELAND,IRELAND,34.00,BLEND-GRAINS,OTHER,50ML,ML ,18670,CREAMS IMPORTED,BAILEYS,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0008676770093,3517,100534,3.000,421.50
BULLEIT BOURBON 90,DIAGEO SPIRITS,SPIRITS,BOURBON,BULLEIT BOURBON,WHISKEY DOMESTIC,Liquor Products,BULLEIT,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,90.00,BLEND-GRAINS,TAWNY/BROWN,1.0L,LT ,352429,BOURBON,BULLEIT,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0008700000554,2670,100534,1.915,743.11
BULLEIT 95 RYE 90,DIAGEO SPIRITS,SPIRITS,STRAIGHT RYE WHISKY,BULLEIT RYE,WHISKEY DOMESTIC,Liquor Products,BULLEIT,,DNA--UNITED STATES,DNA--UNITED STATES,UNITED STATES,90.00,RYE,TAWNY/BROWN,1.0L,LT ,443649,RYE WHISKEY,BULLEIT,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0008200075297,1042,100534,3.496,1324.70
CAPT MORGAN RUM SP MV 70,DIAGEO SPIRITS,SPIRITS,RUM,CAPT MORGAN SPICED,RUM IMPORTED,Liquor Products,CAPTAIN MORGAN RUM,BLEND-SPICES,DNA--UNITED STATES,DNA--UNITED STATES,UNITED STATES,70.00,,TAWNY/BROWN,1.0L,LT ,597191,FLAVORED RUM IMPORTED,CAPTAIN MORGAN,37657,3879744    ,INDIAN SPRINGS RESORT,1712 LINCOLN AVE,,CALISTOGA,CA,25,ON ,0008700000270,3626,100534,0.166,46.40
