item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,75332,5250529    ,NATIONAL ORANGE SHOW,689 S E ST,,SAN BERNARDINO,CA,20,ON ,0008048028001,1265,101079,1.166,230.54
PATRON TEQ SILVER 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,328,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,75332,5250529    ,NATIONAL ORANGE SHOW,689 S E ST,,SAN BERNARDINO,CA,20,ON ,0072173300002,4160,101079,100.000,43185.00
PATRON TEQUILA SILVER 80 BAR,BACARDI USA INC,SPIRITS,TEQUILA,PATRON SILVER,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,118695,SILVER / PLATA TEQUILA,PATRON SPIRITS COMPANY,75332,5250529    ,NATIONAL ORANGE SHOW,689 S E ST,,SAN BERNARDINO,CA,20,ON ,0072173300002,4160,101079,33.000,14383.20
BUCHANANS SCOTCH DELUXE 12YR 80,DIAGEO SPIRITS,SPIRITS,SCOTCH,BUCHANANS SCOTCH,WHISKEY IMPORTED,Liquor Products,BUCHANANS SCOTCH,,DNA--SCOTLAND,SCOTLAND,UNITED KINGDOM,80.00,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,398510,BLENDED SCOTCH,BUCHANANS SCOTCH,75332,5250529    ,NATIONAL ORANGE SHOW,689 S E ST,,SAN BERNARDINO,CA,20,ON ,0008811095532,147,100534,29.000,9124.00
BUCHANANS SCO SP RSV 18YR 80,DIAGEO SPIRITS,SPIRITS,SCOTCH,BUCHANANS SP RES,WHISKEY IMPORTED,Liquor Products,BUCHANANS SCOTCH,,DNA--SCOTLAND,SCOTLAND,UNITED KINGDOM,80.00,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,394431,BLENDED SCOTCH,BUCHANANS SCOTCH,75332,5250529    ,NATIONAL ORANGE SHOW,689 S E ST,,SAN BERNARDINO,CA,20,ON ,0008811095534,2724,100534,21.000,8074.50
CAPT MORGAN RUM SPICED 70,DIAGEO SPIRITS,SPIRITS,RUM,CAPT MORGAN SPICED,RUM IMPORTED,Liquor Products,CAPTAIN MORGAN RUM,BLEND-SPICES,DNA--UNITED STATES,DNA--UNITED STATES,UNITED STATES,70.00,,TAWNY/BROWN,1.0L,LT ,901635,FLAVORED RUM IMPORTED,CAPTAIN MORGAN,75332,5250529    ,NATIONAL ORANGE SHOW,689 S E ST,,SAN BERNARDINO,CA,20,ON ,0008700000270,3626,100534,0.166,45.40
CROWN ROYAL CANADIAN 80 YRC,DIAGEO SPIRITS,SPIRITS,CANADIAN WHISKEY,CROWN ROYAL,WHISKEY IMPORTED,Liquor Products,CROWN ROYAL,,DNA--CANADA,DNA--CANADA,CANADA,80.00,BLEND-GRAINS,TAWNY/BROWN,1.0L,LT ,413512,CANADIAN WHISKEY,CROWN ROYAL,75332,5250529    ,NATIONAL ORANGE SHOW,689 S E ST,,SAN BERNARDINO,CA,20,ON ,0008700000724,3630,100534,0.500,202.68
DON JULIO TEQ ANEJO 80 70TH AN YRC,DIAGEO SPIRITS,SPIRITS,TEQUILA,DON JULIO TEQ 70TH ANN,TEQUILA,Liquor Products,DON JULIO,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,750ML,ML ,411402,ANEJO TEQUILA,DON JULIO,75332,5250529    ,NATIONAL ORANGE SHOW,689 S E ST,,SAN BERNARDINO,CA,20,ON ,0067454500082,1336,100534,11.000,4110.50
KETEL ONE VODKA ORANJE 80,DIAGEO SPIRITS,SPIRITS,VODKA,KETEL ONE ORANJE,VODKA IMPORTED,Liquor Products,KETEL ONE VODKA FLAVORS,ORANGE,DNA--HOLLAND,HOLLAND,NETHERLANDS,80.00,WHEAT,WHITE,1.0L,LT ,290887,FLAVORED VODKA IMPORTED,KETEL ONE VODKA,75332,5250529    ,NATIONAL ORANGE SHOW,689 S E ST,,SAN BERNARDINO,CA,20,ON ,0008515641000,669,100534,0.500,185.70
TANQUERAY GIN 94.6,DIAGEO SPIRITS,SPIRITS,GIN,TANQUERAY GIN,GIN IMPORTED,Liquor Products,TANQUERAY GIN,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.60,BLEND-GRAINS,WHITE,1.0L,LT ,278078,NONE,TANQUERAY GIN,75332,5250529    ,NATIONAL ORANGE SHOW,689 S E ST,,SAN BERNARDINO,CA,20,ON ,0008811011040,158,100534,1.415,466.10
MIDORI MELON LIQ 40,JIM BEAM BRANDS CO,SPIRITS,CORDIALS/LIQUORS,MIDORI LIQUEUR,CORDIALS IMPORTED,Liquor Products,MIDORI,MELON,DNA--MEXICO,DNA--MEXICO,MEXICO,40.00,,GREEN,1.0L,LT ,284690,FLAVORED CORDIAL IMPORTED,BSI ALL OTHER,75332,5250529    ,NATIONAL ORANGE SHOW,689 S E ST,,SAN BERNARDINO,CA,20,ON ,0008885700337,300,100285,0.332,47.06
TEREMANA TEQ BLANCO SB 80,MAST JAGERMEISTER US,SPIRITS,TEQUILA,TEREMANA,TEQUILA,Liquor Products,TEREMANA,,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,WHITE,1.0L,LT ,965143,,TEREMANA,75332,5250529    ,NATIONAL ORANGE SHOW,689 S E ST,,SAN BERNARDINO,CA,20,ON ,0085001564004,6556,100476,20.000,2640.00
JAMESON IRISH WHISKEY 80,PERNOD RICARD USA,SPIRITS,IRISH WHISKEY,JAMESON STANDARD,WHISKEY IMPORTED,Liquor Products,JAMESON STANDARD,,DNA--IRELAND,DNA--IRELAND,IRELAND,80.00,BLEND-GRAINS,TAWNY/BROWN,1.0L,LT ,24601,IRISH WHISKEY,JAMESON IRISH WHISKEY,75332,5250529    ,NATIONAL ORANGE SHOW,689 S E ST,,SAN BERNARDINO,CA,20,ON ,0008043250011,2231,100033,2.000,732.00
MALIBU RUM COCONUT 42,PERNOD RICARD USA,SPIRITS,RUM,MALIBU COCONUT,RUM IMPORTED,Liquor Products,MALIBU REGULAR,COCONUT,DNA--CANADA,DNA--CANADA,CANADA,42.00,,WHITE,1.0L,LT ,33451,FLAVORED RUM IMPORTED,MALIBU RUMS,75332,5250529    ,NATIONAL ORANGE SHOW,689 S E ST,,SAN BERNARDINO,CA,20,ON ,0008954044897,425,100033,3.000,654.00
